"GEOID","Observed","pct.Under5","pct.65over","pct.asian","pct.mixed","pct.hispanic","pct.black","pct.female_hohwc","pct.married","pct.female_hoh","pct.HS_higher","pct.COLL_higher","pct.enter2000","pct.unemploy","pct.families_assist","pct.families_bpl","pct.families_bplwc","pct.homes_vacant","pct.homes_20+","pct.renters_occupied","pct.home_pre1950","pct.home_pre1960","pct.home_pre1980","pre1940","pct.inc_pov_ratio_l1","pct.inc_pov_ratio_g2","pct.rural","density.pop.acre","density.house.acre"
39035151800,0.272497,6.1,14.9,0,0.8,0.7,97.4,14.1,21.4,25.4,84.6,5.7,0,27.9,6,33.4,0,37.6,14,68.5,76.9488684,86.75607712,93.29421626,66.9,33.42465753,33.42465753,0,12.18081343,7.482791483
39035152101,0.024691,5.3,16.1,0.8,1.4,1.5,12.6,5.9,52.2,11,98.3,47.9,0,6.3,2.1,3.8,0,7.9,0,13.6,59.93121238,78.76182287,92.86328461,36.5,3.812316716,91.49560117,0,9.312347307,4.337153599
39035152102,0.052614,6.1,11.1,0.4,3.2,2.2,44.1,15.3,29.9,22.9,88,21.8,0,8.8,2.5,16,0,22.3,0.6,31.8,53.14716312,87.54432624,98.4929078,29.7,16.01941748,72.81553398,0,13.59012917,6.2773859
39035152201,0.028986,6.4,12.1,1.2,2.2,2,63.8,11.8,14.7,12.8,88.5,22.9,0,13.5,7.9,19.4,50.6,13.6,72.2,87.3,22.09046992,31.44488362,89.54765042,12,19.4398682,55.35420099,0,17.68918657,11.68314002
39035152202,0.050068,6.3,14,0.9,2.7,1.5,48.6,14.1,26.9,20.9,90.1,16.2,0,5.8,6.2,22.9,0,11.5,4.8,38.7,26.92840647,69.23787529,95.56581986,9.4,22.92732856,61.00307062,0,7.927282874,3.991128548
39035152302,0.043917,6.4,15.2,0.7,2.1,1.6,31.5,10.8,36.7,26.4,92.7,22.6,0,11.4,4.9,17.7,29,9.5,0,27.2,33.81742739,89.10788382,97.56224066,17.2,17.69230769,66.23931624,0,10.08652935,4.436359297
39035152303,0.064308,5.4,17.5,1.4,2.2,1.7,38.1,11,33.5,17.9,88,13.6,0,8.2,0.4,13.3,20,11.5,0.9,35,27.33582488,81.79391351,97.4906567,1.8,13.27124563,60.5355064,0,4.482458788,2.218494019
39035152400,0.128794,5.7,10.9,0.9,2.2,0.9,45.9,14.4,39.9,16,92.9,24.2,0,18.3,5.5,16,9.5,13.4,0,26.8,72.44186047,89.88372093,95.93023256,49.4,16.02564103,72.00854701,0,12.97885975,5.879706906
39035152501,0.059036,5.2,19.8,1,1.4,1.7,44,12.8,25.6,18.6,89.1,16,0,3.6,5.2,18.2,15.6,14.9,11.6,39.3,40.45631608,74.06789093,92.71007234,13.4,18.22721598,54.68164794,0,10.25217684,5.121832052
39035152502,0.062877,5.7,13.7,0.5,2.8,1.8,51.7,15.3,14.8,31.4,90.8,18.2,0,14.4,3.1,29.6,0,20.7,2.8,48.1,44.10616706,77.98594848,98.51678376,19.4,29.63604853,56.152513,0,2.930745078,1.406073417
39035152603,0.070214,7.5,10,1,4.5,1.2,69.5,20.5,28.2,31,92.9,13.5,0,5,2.8,22.2,100,10.6,0,54.4,56.21621622,83.78378378,100,30.8,22.22222222,54.5751634,0,2.344769064,1.232930212
