Grant,Lead Agency Name,Partner Name,Location Name,Provider Type,Street Address,City,State,Zip Code,Location County Served,Location School District,FY Year End Date,Fiscal Year,Full Day Funded Slots,Half Day Funded Slots,Total Funded Slots,Pre-K Identification Number,Master Provider Identification (MPI) Number,Master Provider ID Service Location Identification Number,Lead Agency Master Provider ID,Georeferenced Latitude & Longitude,State FIPS Code,County FIPS Code
HSSAP,PITTSBURGH PUBLIC SCHOOLS,,MILLER AFRICAN CENTER,SCHOOL DISTRICT,2055 BEDFORD AVE,PITTSBURGH,PA,15219,ALLEGHENY,PITTSBURGH,06/30/2018,FY2017-2018,0,0,13,3043,100133995,37,100133995,POINT (-79.98116 40.44704),42,3
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,,ELLWOOD SCHOOL,SCHOOL DISTRICT,6701 N 13TH ST,PHILADELPHIA,PA,19126,PHILADELPHIA,PHILADELPHIA CITY,06/30/2019,FY2018-2019,0,0,32,13985,100137321,158,100137321,POINT (-75.13903 40.0547),42,101
HSSAP,NORTHERN TIER,,SAINT MARYS,HEAD START,513 E ARCH ST NORTH STAR PROPERTIES,SAINT MARYS,PA,15857,ELK,SAINT MARYS AREA,06/30/2022,FY2021-2022,0,0,12,12818,100134061,16,100134061,POINT (-78.55581 41.42175),42,47
HSSAP,COMMUNITY SERVICES FOR CHILDREN INC,,COLONIAL EARLY LEARNING CENTER,HEAD START,3144 LINDEN ST,BETHLEHEM,PA,18017,NORTHAMPTON,BETHLEHEM AREA,06/30/2020,FY2019-2020,0,0,80,1814,100128144,14,100128144,POINT (-75.35356 40.65931),42,95
HSSAP,WESTMORELAND HUMAN OPPORTUNITIES INC,,ST PAUL,HEAD START,820 CARBON RD,GREENSBURG,PA,15601,WESTMORELAND,GREENSBURG SALEM,06/30/2022,FY2021-2022,0,0,26,21925,100776832,57,100776832,POINT (-79.55874 40.29203),42,129
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,PECKVILLE CENTER,HEAD START,524 MAIN ST,PECKVILLE,PA,18452,LACKAWANNA,VALLEY VIEW,06/30/2017,FY2016-2017,0,0,4,13549,102280167,71,102280167,POINT (-75.57693 41.48043),42,69
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,SOUTH SCRANTON IV & V CENTER,HEAD START,531 CEDAR AVE,SCRANTON,PA,18505,LACKAWANNA,SCRANTON,06/30/2016,FY2015-2016,0,0,2,1903,102280167,20,102280167,POINT (-75.66651 41.40017),42,69
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,SOUTH SCRANTON I & III CENTER,HEAD START,1831 PITTSTON AVE,SCRANTON,PA,18505,LACKAWANNA,SCRANTON,06/30/2018,FY2017-2018,0,0,5,1772,102280167,19,102280167,POINT (-75.67706 41.38845),42,69
HSSAP,ALLEGHENY COUNTY EXECUTIVE,ALLEGHENY INTERMEDIATE UNIT,PENN HILLS LINCOLN PARK,HEAD START,7300 RIDGEVIEW AVE LINCOLN PARK FAMILY CENTER,PITTSBURGH,PA,15235,ALLEGHENY,PENN HILLS,06/30/2018,FY2017-2018,0,0,17,1758,100138249,31,100746305,POINT (-79.88565 40.46783),42,3
PA PKC,SETON HILL CHILD SERVICES INC,ASOCIACION PUERTORRIQUENOS EN MARCHA INC,ALL KIDS ARE SPECIAL CHILDCARE AND LEARNING CENTER,LICENSED NURSERY,1001 KNOLLWOOD RD,NEW KENSINGTON,PA,15068,WESTMORELAND,NEW KENSINGTON-ARNOLD,06/30/2015,FY2014-2015,19,13,32,9567,102335247,1,100153755,POINT (-79.75542 40.57269),42,129
HSSAP,PATHSTONE,,CHESTER COUNTY FAMILY DEVELOPMENT CENTER,HEAD START,421 MCFARLAN RD STE E,KENNETT SQUARE,PA,19348,CHESTER,KENNETT CONSOLIDATED,06/30/2024,FY2023-2024,0,0,17,1862,100277028,3,100277028,POINT (-75.69382 39.85226),42,29
HSSAP,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,,SHAMOKIN HEAD START,HEAD START,1700 W MONTGOMERY ST,COAL TOWNSHIP,PA,17866,NORTHUMBERLAND,SHAMOKIN AREA,06/30/2015,FY2014-2015,0,0,28,1974,100891119,9,100891119,POINT (-76.58126 40.78066),42,97
HSSAP,LANCASTER-LEBANON INTERMEDIATE UNIT 13,,LEBANON HEAD START - NARROWS,HEAD START,400 NARROWS DR,LEBANON,PA,17046,LEBANON,CORNWALL-LEBANON,06/30/2017,FY2016-2017,0,0,15,3024,100758487,10,100758487,POINT (-76.37767 40.36128),42,75
HSSAP,BRADFORD TIOGA HEAD START INC.,,NORTHEAST BRADFORD,HEAD START,526 PANTHER LN,ROME,PA,18837,BRADFORD,NORTHEAST BRADFORD,06/30/2022,FY2021-2022,0,0,17,21952,102877208,16,102877208,POINT (-76.23655 41.86152),42,15
HSSAP,LAWRENCE COUNTY SOCIAL SERVICES INC,,FREW MILL CAMPUS,HEAD START,1745 FREW MILL RD,NEW CASTLE,PA,16101,LAWRENCE,SHENANGO AREA,06/30/2023,FY2022-2023,0,0,8,21762,1530600,19,1530600,POINT (-80.30416 40.99261),42,73
HSSAP,DELAWARE COUNTY INTERMEDIATE UNIT,,MADISON REGIONAL,HEAD START,200 E 5TH ST,CHESTER,PA,19013,DELAWARE,CHESTER-UPLAND,06/30/2020,FY2019-2020,0,0,30,10136,100002680,19,100002680,POINT (-75.35788 39.84969),42,45
HSSAP,"INDIANA COUNTY HEAD START, INC",,CHERRYHILL HEAD START,HEAD START,184 SPAULDING RD,PENN RUN,PA,15765,INDIANA,PENNS MANOR AREA,06/30/2022,FY2021-2022,0,0,4,18877,102325821,4,102325821,POINT (-79.008 40.62511),42,63
HSSAP,PITTSBURGH PUBLIC SCHOOLS,OAKLAND SUNSHINE DAY CARE & LNG CTR INC,OAKLAND SUNSHINE DAY CARE & LNG CTR,HEAD START,2358 5TH AVE,PITTSBURGH,PA,15213,ALLEGHENY,PITTSBURGH,06/30/2022,FY2021-2022,0,0,31,1781,100143169,1,100133995,POINT (-79.97112 40.43721),42,3
HSSAP,COMMUNITY SERVICES FOR CHILDREN INC,,CUMBERLAND GARDENS,HEAD START,501 E CUMBERLAND ST,ALLENTOWN,PA,18103,LEHIGH,ALLENTOWN CITY,06/30/2023,FY2022-2023,0,0,40,1638,100128144,10,100128144,POINT (-75.44279 40.5924),42,77
HSSAP,PITTSBURGH PUBLIC SCHOOLS,MT ARARAT COMMUNITY ACTIVITY CENTER INC,MT ARARAT COMMUNITY ACTIVITY CENTER,HEAD START,745 N NEGLEY AVE,PITTSBURGH,PA,15206,ALLEGHENY,PITTSBURGH,06/30/2018,FY2017-2018,0,0,13,20201,100153844,3,100133995,POINT (-79.92649 40.47101),42,3
HSSAP,LAWRENCE COUNTY SOCIAL SERVICES INC,,NESHANNOCK MEMORIAL ELEMENTARY SCHOOL,HEAD START,3834 MITCHELL RD,NEW CASTLE,PA,16105,LAWRENCE,NESHANNOCK TOWNSHIP,06/30/2021,FY2020-2021,0,0,4,13955,1530600,17,1530600,POINT (-80.34718 41.06604),42,73
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,CREATIVE LEARNING ENVIRONMENTS INC,CREATIVE LEARNING ENVIRONMENTS INC,CHILD CARE PROVIDER,4800 LONGSHORE AVE,PHILADELPHIA,PA,19135,PHILADELPHIA,PHILADELPHIA CITY,06/30/2023,FY2022-2023,0,0,20,10032,102550988,1,100137321,POINT (-75.04234 40.02474),42,101
HSSAP,ALLEGHENY COUNTY EXECUTIVE,ALLEGHENY INTERMEDIATE UNIT,NORTHGATE BELLEVUE,HEAD START,435 LINCOLN AVE,PITTSBURGH,PA,15202,ALLEGHENY,NORTHGATE,06/30/2024,FY2023-2024,0,0,18,1765,100138249,30,100746305,POINT (-80.05474 40.49438),42,3
HSSAP,BRADFORD TIOGA HEAD START INC.,,ROME,HEAD START,1355 MAIN ST,ROME,PA,18837,BRADFORD,NORTHEAST BRADFORD,06/30/2022,FY2021-2022,0,0,17,14521,102877208,14,102877208,POINT (-76.33719 41.86246),42,15
HSSAP,KEYSTONE SERVICE SYSTEMS INC,,SCOTT EARLY CHILDHOOD CENTER,HEAD START,1900 DERRY ST,HARRISBURG,PA,17104,DAUPHIN,HARRISBURG CITY,06/30/2015,FY2014-2015,0,0,80,1558,100137312,10,100001038,POINT (-76.8577 40.2615),42,43
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,DELAWARE VALLEY SCHOOL DIST,DINGMAN-DELAWARE PRIMARY,SCHOOL DISTRICT,1375 ROUTE 739,DINGMANS FERRY,PA,18328,PIKE,DELAWARE VALLEY,06/30/2018,FY2017-2018,0,0,3,1038,1394438,3,102280167,POINT (-74.9498 41.28972),42,103
HSSAP,BENEDICTINE SISTERS INC,,SAINT BENEDICT CENTER,CHILD CARE PROVIDER,345 E 9TH ST,ERIE,PA,16503,ERIE,ERIE CITY,06/30/2024,FY2023-2024,0,0,17,1157,100134080,1,100134080,POINT (-80.07563 42.12933),42,49
HSSAP,COMMUNITY PROGRESS COUNCIL INC,,HEAD START OF YORK CO - ST MARK'S,HEAD START,700 E MARKET ST,YORK,PA,17403,YORK,YORK CITY,06/30/2019,FY2018-2019,0,0,33,1864,100126696,4,100126696,POINT (-76.71278 39.96739),42,133
HSSAP,BLUEPRINTS,,CAS PLAZA,HEAD START,150 W BEAU ST SUITE 304,WASHINGTON,PA,15301,WASHINGTON,WASHINGTON,06/30/2016,FY2015-2016,0,0,34,1962,100731376,18,100731376,POINT (-80.24874 40.16997),42,125
PA PKC,LANCASTER-LEBANON INTERMEDIATE UNIT 13,CAP OF LANCASTER COUNTY,COMMUNITY ACTION PROGRAM CHILD CARE,HEAD START,601 S QUEEN ST,LANCASTER,PA,17603,LANCASTER,LANCASTER,06/30/2019,FY2018-2019,14,0,14,1940,100126785,3,100758487,POINT (-76.30308 40.02811),42,71
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,BRIGHTSIDE ACADEMY INC,BRIGHTSIDE ACADEMY EARLY CARE EDUCATION,CHILD CARE PROVIDER,217 W LEHIGH AVE # 31,PHILADELPHIA,PA,19133,PHILADELPHIA,PHILADELPHIA CITY,06/30/2024,FY2023-2024,0,0,20,5512,100140532,25,100137321,POINT (-75.13568 39.99188),42,101
HSSAP,LANCASTER-LEBANON INTERMEDIATE UNIT 13,,SOUTH LEBANON ELEMENTARY,HEAD START,1825 S 5TH AVE,LEBANON,PA,17042,LEBANON,LEBANON,06/30/2024,FY2023-2024,0,0,7,9797,100758487,22,100758487,POINT (-76.36593 40.31726),42,75
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,CENTER FOR DEVELOPMENTAL DISABILITIES,CENTER FOR DEVEL DISABILITIES OF PIKE CO,CHILD CARE PROVIDER,101 POCONO DR,MILFORD,PA,18337,PIKE,DELAWARE VALLEY,06/30/2023,FY2022-2023,0,0,28,1705,100394392,7,102280167,POINT (-74.78108 41.334),42,103
PA PKC,TUSCARORA SCHOOL DISTRICT,FRANKLIN COUNTY HEAD START,TUSCARORA SCHOOL DISTRICT,HEAD START,70 SCHOOL HOUSE RD,SAINT THOMAS,PA,17252,FRANKLIN,TUSCARORA,06/30/2020,FY2019-2020,18,0,18,11842,102280434,19,1455524,POINT (-77.79813 39.91849),42,55
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,THE PORTERS DAY CARE AND EDUCATION CTR,THE PORTERS DAY CARE AND EDUCATION CTR,CHILD CARE PROVIDER,1434 BELFIELD AVE # 38,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2017,FY2016-2017,0,0,95,1182,100123077,1,100137321,POINT (-75.14895 40.02389),42,101
PA PKC,MILLCREEK TOWNSHIP SCHOOL DISTRICT,,MCDOWELL PRESCHOOL CHILD DEVELOPMENT,SCHOOL DISTRICT,3580 W 38TH ST,ERIE,PA,16506,ERIE,MILLCREEK TOWNSHIP,06/30/2019,FY2018-2019,0,11,11,5406,100138211,3,100138211,POINT (-80.1491 42.0722),42,49
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,YOUNG WORLD EARLY LEARNING CENTER INC,YOUNG WORLD EARLY LEARNING CENTER,CHILD CARE PROVIDER,1737 FAIRMOUNT AVE,PHILADELPHIA,PA,19130,PHILADELPHIA,PHILADELPHIA CITY,06/30/2020,FY2019-2020,0,0,26,1224,100128420,1,100137321,POINT (-75.16657 39.96719),42,101
HSSAP,CAP OF LANCASTER COUNTY,,COMMUNITY ACTION PROGRAM,HEAD START,57 LAUREL STREET,LANCASTER,PA,17603,LANCASTER,LANCASTER,06/30/2016,FY2015-2016,0,0,18,1778,100126785,4,100126785,POINT (-76.31656 40.03233),42,71
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,NORTH SCRANTON II CENTER,HEAD START,1733 N MAIN AVE,SCRANTON,PA,18508,LACKAWANNA,SCRANTON,06/30/2019,FY2018-2019,0,0,5,1783,102280167,16,102280167,POINT (-75.65915 41.43682),42,69
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,,WEBSTER COMP EARLY LRNG,HEAD START,3400 FRANKFORD AVE,PHILADELPHIA,PA,19134,PHILADELPHIA,PHILADELPHIA CITY,06/30/2017,FY2016-2017,0,0,40,10090,100137321,33,100137321,POINT (-75.10498 39.99611),42,101
PA PKC,TUSCARORA SCHOOL DISTRICT,FRANKLIN COUNTY HEAD START,TUSCARORA SCHOOL DISTRICT,HEAD START,70 SCHOOL HOUSE RD,SAINT THOMAS,PA,17252,FRANKLIN,TUSCARORA,06/30/2017,FY2016-2017,18,0,18,11842,102280434,19,1455524,POINT (-77.79813 39.91849),42,55
HSSAP,COMMUNITY SERVICES FOR CHILDREN INC,,CUMBERLAND GARDENS,HEAD START,501 E CUMBERLAND ST,ALLENTOWN,PA,18103,LEHIGH,ALLENTOWN CITY,06/30/2022,FY2021-2022,0,0,40,1638,100128144,10,100128144,POINT (-75.44279 40.5924),42,77
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,WESTERN WAYNE SCHOOL DISTRICT,R.D. WILSON CENTER,SCHOOL DISTRICT,74 BELMONT ST,WAYMART,PA,18472,WAYNE,WESTERN WAYNE,06/30/2019,FY2018-2019,0,0,10,3660,1501028,9,102280167,POINT (-75.40683 41.57416),42,127
HSSAP,BRADFORD TIOGA HEAD START INC.,,NORTHEAST BRADFORD,HEAD START,526 PANTHER LN,ROME,PA,18837,BRADFORD,NORTHEAST BRADFORD,06/30/2021,FY2020-2021,0,0,17,21952,102877208,16,102877208,POINT (-76.23655 41.86152),42,15
HSSAP,BLUEPRINTS,,CAS PLAZA,HEAD START,150 W BEAU ST SUITE 304,WASHINGTON,PA,15301,WASHINGTON,WASHINGTON,06/30/2020,FY2019-2020,0,0,34,1962,100731376,18,100731376,POINT (-80.24874 40.16997),42,125
HSSAP,PITTSBURGH PUBLIC SCHOOLS,BRIGHTSIDE ACADEMY INC,BRIGHTSIDE ACADEMY INC,CHILD CARE PROVIDER,925 LIBERTY AVE FIRST FLOOR,PITTSBURGH,PA,15222,ALLEGHENY,PITTSBURGH,06/30/2018,FY2017-2018,0,0,6,9975,100140532,71,100133995,POINT (-79.99718 40.44314),42,3
PA PKC,PUBLIC HEALTH MANAGEMENT CORP,,ASBURY CHILD DEVELOPMENT,SCHOOL DISTRICT,5875 STERRETTANIA RD,FAIRVIEW,PA,16415,ERIE,MILLCREEK TOWNSHIP,06/30/2016,FY2015-2016,0,2,2,5409,100138211,11,100001664,POINT (-80.17034 42.04536),42,49
HSSAP,HUNTINGDON CTY CHILD & ADULT DVPT CORP,,SOUTHERN HUNTINGDON,HEAD START,10339 POGUE RD,THREE SPRINGS,PA,17264,HUNTINGDON,SOUTHERN HUNTINGDON COUNTY,06/30/2017,FY2016-2017,0,0,16,12074,100134295,19,100134295,POINT (-77.92368 40.21428),42,61
HSSAP,LUZERNE COUNTY HEAD START INC,,HAZLETON INTEGRATION CENTER,HEAD START,225 E 4TH ST,HAZLETON,PA,18201,LUZERNE,HAZLETON AREA,06/30/2019,FY2018-2019,0,0,34,20804,102280158,30,102280158,POINT (-75.96763 40.96342),42,79
HSSAP,PITTSBURGH PUBLIC SCHOOLS,UPMC PRESBYTERIAN SHADYSIDE,MATILDA THEISS CHILD DEVELOPMENT CENTER,CHILD CARE PROVIDER,373 BURROWS ST,PITTSBURGH,PA,15213,ALLEGHENY,PITTSBURGH,06/30/2015,FY2014-2015,0,0,12,3469,100001904,5,100133995,POINT (-79.97089 40.44164),42,3
HSSAP,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,,SHAMOKIN HEAD START,HEAD START,1700 W MONTGOMERY ST,COAL TOWNSHIP,PA,17866,NORTHUMBERLAND,SHAMOKIN AREA,06/30/2016,FY2015-2016,0,0,24,1974,100891119,9,100891119,POINT (-76.58126 40.78066),42,97
HSSAP,ALLEGHENY COUNTY EXECUTIVE,ALLEGHENY INTERMEDIATE UNIT,STO-ROX PLEASANT RIDGE,HEAD START,251 JEFFERSON DR,MCKEES ROCKS,PA,15136,ALLEGHENY,STO-ROX,06/30/2018,FY2017-2018,0,0,17,1751,100138249,34,100746305,POINT (-80.07664 40.47989),42,3
HSSAP,KEYSTONE SERVICE SYSTEMS INC,,HAMILTON SCHOOL,HEAD START,1791 N 6TH ST,HARRISBURG,PA,17102,DAUPHIN,HARRISBURG CITY,06/30/2019,FY2018-2019,0,0,48,20777,100001038,1088,100001038,POINT (-76.88857 40.27692),42,43
HSSAP,FAMILY & COMMUNITY CHRISTIAN ASSOCIATION,,GILL COMMONS,HEAD START,275 WALKER DR,MEADVILLE,PA,16335,CRAWFORD,CRAWFORD CENTRAL,06/30/2016,FY2015-2016,0,0,19,10012,100133556,17,100133556,POINT (-80.16188 41.66398),42,39
HSSAP,"TABLELAND SERVICES, INC.",,NORTH STAR MS / KANTNER EL,HEAD START,3598 WHISTLER RD,STOYSTOWN,PA,15563,SOMERSET,NORTH STAR,06/30/2022,FY2021-2022,0,0,17,1851,101151030,15,101151030,POINT (-78.93499 40.10363),42,111
HSSAP,PITTSBURGH PUBLIC SCHOOLS,BRITTINI R WRIGHT LLC,LEARNING LOFT ON BAUM,CHILD CARE PROVIDER,5732 BAUM BLVD,PITTSBURGH,PA,15206,ALLEGHENY,PITTSBURGH,06/30/2024,FY2023-2024,0,0,13,24542,103167923,5,100133995,POINT (-79.93259 40.45872),42,3
HSSAP,"INDIANA COUNTY HEAD START, INC",,CHERRYHILL HEAD START,HEAD START,184 SPAULDING RD,PENN RUN,PA,15765,INDIANA,PENNS MANOR AREA,06/30/2019,FY2018-2019,0,0,4,18877,102325821,4,102325821,POINT (-79.008 40.62511),42,63
HSSAP,COMMUNITY PROGRESS COUNCIL INC,,HANNAH PENN SCHOOL,HEAD START,415 E BOUNDARY AVE,YORK,PA,17403,YORK,YORK CITY,06/30/2022,FY2021-2022,0,0,17,12942,100126696,18,100126696,POINT (-76.71604 39.95931),42,133
HSSAP,PITTSBURGH PUBLIC SCHOOLS,,SPRING GARDEN EARLY CHILDHOOD CENTER,HEAD START,1501 SPRING GARDEN AVE,PITTSBURGH,PA,15212,ALLEGHENY,PITTSBURGH,06/30/2024,FY2023-2024,0,0,20,1874,100133995,24,100133995,POINT (-79.98566 40.46444),42,3
HSSAP,ALLEGHENY COUNTY EXECUTIVE,ALLEGHENY INTERMEDIATE UNIT,WILKINSBURG HOSANNA HOUSE,HEAD START,807 WALLACE AVE,PITTSBURGH,PA,15221,ALLEGHENY,WILKINSBURG BOROUGH,06/30/2022,FY2021-2022,0,0,17,1900,100138249,36,100746305,POINT (-79.88074 40.4433),42,3
HSSAP,BRADFORD TIOGA HEAD START INC.,,BLOSSBURG,HEAD START,228 MAIN ST,BLOSSBURG,PA,16912,TIOGA,SOUTHERN TIOGA,06/30/2021,FY2020-2021,0,0,17,13870,102877208,7,102877208,POINT (-77.06497 41.68002),42,117
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,ASOCIACION PUERTORRIQUENOS EN MARCHA INC,ISAAC TRIPP ELEMENTARY SCHOOL,HEAD START,1000 N EVERETT AVE,SCRANTON,PA,18504,LACKAWANNA,SCRANTON,06/30/2017,FY2016-2017,0,0,2,12309,102280167,40,102280167,POINT (-75.67955 41.43122),42,69
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,CENTER FOR DEVELOPMENTAL DISABILITIES OF,CENTER FOR DEVEL DISABILITIES OF PIKE CO,CHILD CARE PROVIDER,101 POCONO DR,MILFORD,PA,18337,PIKE,DELAWARE VALLEY,06/30/2021,FY2020-2021,0,0,28,1705,100394392,7,102280167,POINT (-74.78108 41.334),42,103
HSSAP,COMMUNITY SERVICES FOR CHILDREN INC,,PETERS ELEMENTARY SCHOOL,HEAD START,4055 FRIEDENS RD,SLATINGTON,PA,18080,LEHIGH,NORTHERN LEHIGH,06/30/2020,FY2019-2020,0,0,20,1800,100128144,15,100128144,POINT (-75.64019 40.72172),42,77
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,MID VALLEY EARLY HEAD START,CHILD CARE PROVIDER,641 SIMPSON ST,THROOP,PA,18512,LACKAWANNA,MID VALLEY,06/30/2020,FY2019-2020,0,0,20,1986,102280167,10,102280167,POINT (-75.61791 41.44363),42,69
HSSAP,LUZERNE COUNTY HEAD START INC,,STATE STREET ELEMENTARY SCHOOL,SCHOOL DISTRICT,355 E STATE STREET,LARKSVILLE,PA,18704,LUZERNE,WYOMING VALLEY WEST,06/30/2018,FY2017-2018,0,0,18,13826,102280158,26,102280158,POINT (-75.92932 41.26136),42,79
HSSAP,PITTSBURGH PUBLIC SCHOOLS,,MANCHESTER CENTER,SCHOOL DISTRICT,1612 MANHATTAN ST,PITTSBURGH,PA,15233,ALLEGHENY,PITTSBURGH,06/30/2020,FY2019-2020,0,0,6,3042,100133995,36,100133995,POINT (-80.02707 40.45633),42,3
HSSAP,LAWRENCE COUNTY SOCIAL SERVICES INC,,ELLWOOD CITY EARLY LEARNING CENTER,HEAD START,924 CRESCENT AVE,ELLWOOD CITY,PA,16117,LAWRENCE,ELLWOOD CITY AREA,06/30/2020,FY2019-2020,0,0,12,1231,1530600,3,1530600,POINT (-80.29521 40.85731),42,73
HSSAP,PITTSBURGH PUBLIC SCHOOLS,,SPRING GARDEN EARLY CHILDHOOD CENTER,HEAD START,1501 SPRING GARDEN AVE,PITTSBURGH,PA,15212,ALLEGHENY,PITTSBURGH,06/30/2020,FY2019-2020,0,0,19,1874,100133995,24,100133995,POINT (-79.98566 40.46444),42,3
HSSAP,SCHOOL DISTRICT OF PHILADELPHIA,CHILDRENS VILLAGE INC,CHILDRENS VILLAGE INC,CHILD CARE PROVIDER,125 N 8TH ST,PHILADELPHIA,PA,19106,PHILADELPHIA,PHILADELPHIA CITY,06/30/2021,FY2020-2021,0,0,126,1492,100310570,1,100137321,POINT (-75.153 39.95383),42,101
HSSAP,BRADFORD TIOGA HEAD START INC.,,NORTHEAST BRADFORD,HEAD START,526 PANTHER LN,ROME,PA,18837,BRADFORD,NORTHEAST BRADFORD,06/30/2020,FY2019-2020,0,0,17,21952,102877208,16,102877208,POINT (-76.23655 41.86152),42,15
HSSAP,ALLEGHENY COUNTY EXECUTIVE,ALLEGHENY INTERMEDIATE UNIT,HIGHLANDS III,HEAD START,216 W 9TH AVE,TARENTUM,PA,15084,ALLEGHENY,HIGHLANDS,06/30/2020,FY2019-2020,0,0,18,19298,100138249,106,100746305,POINT (-79.76244 40.60144),42,3
HSSAP,BRADFORD TIOGA HEAD START INC.,,TROY HEAD START 2,HEAD START,430 CANTON ST,TROY,PA,16947,BRADFORD,WYALUSING AREA,06/30/2021,FY2020-2021,0,0,17,12412,102877208,5,102877208,POINT (-76.79159 41.78122),42,15
HSSAP,LAWRENCE COUNTY SOCIAL SERVICES INC,,LAUREL ELEMENTARY,HEAD START,223 MCCASLIN RD,NEW CASTLE,PA,16101,LAWRENCE,LAUREL,06/30/2024,FY2023-2024,0,0,2,10029,1530600,11,1530600,POINT (-80.25832 41.01883),42,73
HSSAP,CHESTER COUNTY INTERMEDIATE UNIT,,HEAD START - COATESVILLE,HEAD START,351 KERSEY ST,COATESVILLE,PA,19320,CHESTER,COATESVILLE AREA,06/30/2018,FY2017-2018,0,0,34,9795,100359606,24,100359606,POINT (-75.81774 39.98224),42,29
HSSAP,COLUMBIA DAYCARE PROGRAM INC,,SULLIVAN COUNTY HEAD START,HEAD START,9219 ROUTE 487 STE C,DUSHORE,PA,18614,SULLIVAN,SULLIVAN COUNTY,06/30/2020,FY2019-2020,0,0,26,1816,100127183,4,100127183,POINT (-76.39107 41.51732),42,113
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,ELK LAKE CENTER,HEAD START,PO BOX 100 SCHOOL HOUSE ROAD,DIMOCK,PA,18816,SUSQUEHANNA,ELK LAKE,06/30/2022,FY2021-2022,0,0,17,1831,102280167,3,102280167,,42,115
HSSAP,HUNTINGDON CTY CHILD & ADULT DVPT CORP,,MAPLETON ELEMENTARY,HEAD START,13606 SMITH VALLEY RD,MAPLETON DEPOT,PA,17052,HUNTINGDON,MOUNT UNION AREA,06/30/2015,FY2014-2015,0,0,16,3545,100134295,15,100134295,POINT (-77.94379 40.40345),42,61
HSSAP,AGENCY FOR COMMUNITY EMPOWERMENT OF NEPA,,SOUTH SCRANTON I & III CENTER,HEAD START,1831 PITTSTON AVE,SCRANTON,PA,18505,LACKAWANNA,SCRANTON,06/30/2015,FY2014-2015,0,0,7,1772,102280167,19,102280167,POINT (-75.67706 41.38845),42,69
HSSAP,DELAWARE COUNTY INTERMEDIATE UNIT,,CTE FOLCROFT TECHNICAL SCHOOL,HEAD START,701 HENDERSON BLVD,FOLCROFT,PA,19032,DELAWARE,SOUTHEAST DELCO,06/30/2021,FY2020-2021,0,0,40,10142,100002680,21,100002680,POINT (-75.28073 39.89198),42,45
HSSAP,CAP OF LANCASTER COUNTY,,GRACE EARLY LEARNING CENTER,HEAD START,517 N QUEEN ST,LANCASTER,PA,17603,LANCASTER,LANCASTER,06/30/2022,FY2021-2022,0,0,34,22608,100126785,13,100126785,POINT (-76.30683 40.04641),42,71
PA PKC,LANCASTER-LEBANON INTERMEDIATE UNIT 13,CAP OF LANCASTER COUNTY,REAMSTOWN ELEMENTARY SCHOOL,HEAD START,44 N REAMSTOWN ROAD,REAMSTOWN,PA,17567,LANCASTER,COCALICO,06/30/2020,FY2019-2020,11,0,11,21923,100126785,10,100758487,POINT (-76.12194 40.21293),42,71
HSSAP,COMMUNITY ACTION PARTNERSHIP MERCER CTY,FARRELL AREA SCHOOL DISTRICT,HEMPFIELD ELEMENTARY,HEAD START,60 FREDONIA RD,GREENVILLE,PA,16125,MERCER,GREENVILLE AREA,06/30/2019,FY2018-2019,0,0,29,1842,100138267,19,102280130,POINT (-80.36511 41.39322),42,85
HSSAP,CHILD ADVOCATES OF BLAIR COUNTY INC,,GREENWOOD CENTER,HEAD START,319 SYCAMORE ST,ALTOONA,PA,16602,BLAIR,ALTOONA AREA,06/30/2023,FY2022-2023,0,0,72,9977,100134769,2,100134769,POINT (-78.36941 40.53045),42,13
HSSAP,PUBLIC HEALTH MANAGEMENT CORP,CHILDCARE DEVELOPMENT INC,JUST CHILDREN MAINLINE INC,CHILD CARE PROVIDER,4723 CONSHOHOCKEN AVE,PHILADELPHIA,PA,19131,PHILADELPHIA,PHILADELPHIA CITY,06/30/2015,FY2014-2015,0,0,30,6688,100306980,1,100001664,POINT (-75.22465 40.00066),42,101
