Grant,Lead Agency Name,Partner Name,Location Name,Provider Type,Street Address,City,State,Zip Code,Location County Served,Location School District,FY Year End Date,Fiscal Year,Full Day Funded Slots,Half Day Funded Slots,Total Funded Slots,Pre-K Identification Number,Master Provider Identification (MPI) Number,Master Provider ID Service Location Identification Number,Lead Agency Master Provider ID,Georeferenced Latitude & Longitude,State FIPS Code,County FIPS Code
PA PKC,JERSEY SHORE AREA SCHOOL DISTRICT,AVIS UNITED METHODIST CHURCH,ALL THINGS BRIGHT AND BEAUTIFUL DAYCARE,CHILD CARE PROVIDER,215 PROSPECT AVE STE 1,AVIS,PA,17721,LYCOMING,JERSEY SHORE AREA,06/30/2017,FY2016-2017,20,0,20,1649,100123291,1,101033582,POINT (-77.32087 41.18691),42,81
HSSAP,BLUEPRINTS,,SOUTHEASTERN GREENE SD,HEAD START,304 GRANT ST,BOBTOWN,PA,15315,GREENE,SOUTHEASTERN GREENE,06/30/2016,FY2015-2016,0,0,7,13837,100731376,47,100731376,POINT (-79.98435 39.75974),42,59
PA PKC,FAMILY AND COMMUNITY CHRISTIAN ASSOCIATI,,FOREST GREEN CHILDRENS CENTER,CHILD CARE PROVIDER,19596 FOREST GREEN DR,MEADVILLE,PA,16335,CRAWFORD,PENNCREST,06/30/2017,FY2016-2017,0,18,18,2213,100133556,1,100133556,POINT (-80.14613 41.61431),42,39
PA PKC,CRISPUS ATTUCKS ASSOCIATION INC,,CRISPUS ATTUCKS EARLY LEARNING CENTER,CHILD CARE PROVIDER,50 E BOUNDARY AVE,YORK,PA,17401,YORK,YORK CITY,06/30/2020,FY2019-2020,40,0,40,3707,100149289,5,100149289,POINT (-76.721854 39.954902),42,133
PA PKC,COMMUNITY ACTION PARTNERSHIP MERCER CTY,FARRELL AREA SCHOOL DISTRICT,REYNOLDS AREA SD,SCHOOL DISTRICT,1609 BRENTWOOD DR,GREENVILLE,PA,16125,MERCER,REYNOLDS,06/30/2015,FY2014-2015,14,0,14,1418,100138267,13,102280130,POINT (-80.39669 41.33815),42,85
PA PKC,BUTLER COUNTY CHILDRENS CENTER,,DASSA MCKINNEY ELEMENTARY,HEAD START,391 HOOKER RD,WEST SUNBURY,PA,16061,BUTLER,MONITEAU,06/30/2018,FY2017-2018,17,0,17,12543,100134277,7,100134277,POINT (-79.8803 41.00164),42,19
PA PKC,KIDS FIRST LILY POND,,LILY POND SCHOOL-AGE CENTER,CHILD CARE PROVIDER,4 SHERATON DR,ALTOONA,PA,16601,BLAIR,HOLLIDAYSBURG AREA,06/30/2019,FY2018-2019,76,0,76,8192,101686515,11,101686515,POINT (-78.41184 40.45942),42,13
PA PKC,COMMUNITY SERVICES FOR CHILDREN INC,,HEAD START-DONLEY CAMPUS,HEAD START,1520 HANOVER AVE,ALLENTOWN,PA,18109,LEHIGH,ALLENTOWN CITY,06/30/2015,FY2014-2015,20,0,20,1802,100128144,3,100128144,POINT (-75.429179 40.62061),42,77
PA PKC,BETHEL PARK SCHOOL DISTRICT,ALLEGHENY INTERMEDIATE UNIT,WILLIAM PENN ELEMENTARY,HEAD START,110 WOODLET LN,BETHEL PARK,PA,15102,ALLEGHENY,BETHEL PARK,06/30/2021,FY2020-2021,17,0,17,22596,100138249,111,1473827,POINT (-80.044911 40.298896),42,3
PA PKC,KIDS FIRST CENTER FOR EARLY LEARNING,,KIDS FIRST CENTER FOR EARLY LEARNING,CHILD CARE PROVIDER,4 SHERATON DR,ALTOONA,PA,16601,BLAIR,HOLLIDAYSBURG AREA,06/30/2020,FY2019-2020,76,0,76,22090,103665372,1,103665372,POINT (-78.41184 40.45942),42,13
PA PKC,MOTIVATED YOUNG MINDS INC,T Y L 11 INC,T Y L 11,CHILD CARE PROVIDER,5124 WALNUT ST,PHILADELPHIA,PA,19139,PHILADELPHIA,PHILADELPHIA CITY,06/30/2021,FY2020-2021,20,0,20,1204,100132666,1,103078289,POINT (-75.224412 39.956814),42,101
PA PKC,LIFESTEPS INC,,LIFESTEPS,CHILD CARE PROVIDER,138 FRIENDSHIP CIR,BEAVER,PA,15009,BEAVER,BEAVER AREA,06/30/2022,FY2021-2022,0,20,20,1247,100001092,53,100001092,POINT (-80.32298 40.70666),42,7
PA PKC,LEARN AND PLAY CENTERS INC,,PLAY AND LEARN-LANSDALE,CHILD CARE PROVIDER,800 S BROAD ST,LANSDALE,PA,19446,MONTGOMERY,NORTH PENN,06/30/2021,FY2020-2021,20,0,20,6666,100304484,1,100304484,POINT (-75.293231 40.231892),42,91
PA PKC,WAYNESBORO SCHOOL DISTRICT,FRANKLIN COUNTY HEAD START,FAITH UNITED METHODIST,HEAD START,104 N POTOMAC ST,WAYNESBORO,PA,17268,FRANKLIN,WAYNESBORO AREA,06/30/2019,FY2018-2019,20,0,20,14025,102280434,25,1728630,POINT (-77.57841 39.7587),42,55
PA PKC,COMMUNITY SERVICES FOR CHILDREN INC,,EAST PENN ALBURTIS ELEM,HEAD START,222 W 3RD ST,ALBURTIS,PA,18011,LEHIGH,EAST PENN,06/30/2019,FY2018-2019,20,0,20,14245,100128144,31,100128144,POINT (-75.605178 40.508592),42,77
PA PKC,INDIANA COUNTY CHILD DAY CARE PRG INC,,UNIVERSITY EARLY CARE AND EDUCATION CTR,CHILD CARE PROVIDER,570 S 11TH ST,INDIANA,PA,15705,INDIANA,INDIANA AREA,06/30/2023,FY2022-2023,15,0,15,1059,100134114,9,100134114,POINT (-79.16084 40.61566),42,63
PA PKC,TODAYS CHILD LEARNING CENTERS INC,,TODAYS CHILD LEARNING CENTER,CHILD CARE PROVIDER,328 MAIN ST,DARBY,PA,19023,DELAWARE,WILLIAM PENN,06/30/2021,FY2020-2021,60,0,60,1520,100131990,6,100131990,POINT (-75.252668 39.916727),42,45
PA PKC,STEPPING STONES PRESCHOOL INC,,STEPPING STONES PRESCHOOL,CHILD CARE PROVIDER,102 COATES AVE,ELKLAND,PA,16920,TIOGA,NORTHERN TIOGA,06/30/2020,FY2019-2020,52,0,52,14321,102873620,5,102873620,POINT (-77.310135 41.987281),42,117
PA PKC,BRIGHTSIDE ACADEMY INC,,BRIGHTSIDE ACADEMY EARLY EDUCATION,CHILD CARE PROVIDER,2700 N 17TH ST,PHILADELPHIA,PA,19132,PHILADELPHIA,PHILADELPHIA CITY,06/30/2015,FY2014-2015,20,0,20,5511,100140532,24,100140532,POINT (-75.15945 39.99495),42,101
PA PKC,ALLEGHENY INTERMEDIATE UNIT,,PENN HILLS DIBLE,HEAD START,1079 JEFFERSON ROAD,PENN HILLS,PA,15235,ALLEGHENY,STO-ROX,06/30/2015,FY2014-2015,19,0,19,1589,100138249,25,100138249,POINT (-79.80745 40.44814),42,3
PA PKC,MONTGOMERY COUNTY COMMUNITY COLLEGE,,MONTGOMERY COUNTY COMMUNITY COLLEGE CHIL,CHILD CARE PROVIDER,340 DEKALB PIKE,BLUE BELL,PA,19422,MONTGOMERY,WISSAHICKON,06/30/2017,FY2016-2017,26,0,26,1597,100126838,1,100126838,POINT (-75.28137 40.17602),42,91
PA PKC,SCHOOL DISTRICT OF CITY OF YORK,CPC/HEAD START OF YORK COUNTY,DAVIS ELEMENTARY,HEAD START,300 S OGONTZ ST,YORK,PA,17403,YORK,YORK CITY,06/30/2016,FY2015-2016,38,0,38,1463,100126696,9,1455417,POINT (-76.697617 39.966023),42,133
PA PKC,FAMILY AND COMMUNITY CHRISTIAN ASSOCIATI,,FCCA/ALICE SCHAFER,HEAD START,220 W SCHOOL DR,LINESVILLE,PA,16424,CRAWFORD,CONNEAUT,06/30/2015,FY2014-2015,19,0,19,1474,100133556,2,100133556,POINT (-80.4186 41.65459),42,39
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,KENCREST SERVICES,KEN-CREST SERVICES-KENSINGTON CENTER,CHILD CARE PROVIDER,901 E ONTARIO ST,PHILADELPHIA,PA,19134,PHILADELPHIA,PHILADELPHIA CITY,06/30/2017,FY2016-2017,40,0,40,1519,100000999,175,100137321,POINT (-75.112632 39.999552),42,101
PA PKC,CHILD DEV FAMILY COUNCIL OF CENTRE CO,,DISCOVERY CHILD DEVELOPMENT CENTER,CHILD CARE PROVIDER,870 STRATFORD DR,STATE COLLEGE,PA,16801,CENTRE,STATE COLLEGE AREA,06/30/2015,FY2014-2015,19,0,19,1363,100134221,6,100134221,POINT (-77.86194 40.77106),42,27
PA PKC,COMMUNITY ACTION PARTNERSHIP CAMBRIA CTY,,JOHNSTOWN CENTER,HEAD START,401 BROAD ST,JOHNSTOWN,PA,15906,CAMBRIA,GREATER JOHNSTOWN,06/30/2016,FY2015-2016,34,0,34,1392,102280120,2,102280120,POINT (-78.9276 40.33901),42,21
