Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2008,Western,California,Veteran Method,Poisoning,94,15.1
2008,Western,California,Veteran Method,Suffocation,119,19.1
2008,Western,California,Veteran Method,Other suicide,51,8.2
2008,Western,Colorado,Veteran Method,Firearms,112,64.7
2008,Western,Colorado,Veteran Method,Poisoning,32,18.5
2008,Western,Colorado,Veteran Method,Other and low-count methods,29,16.8
2008,Western,Hawaii,Veteran Method,Other and low-count methods,19,100
2008,Western,Idaho,Veteran Method,Firearms,36,61
2008,Western,Idaho,Veteran Method,Other and low-count methods,23,39
2008,Western,Montana,Veteran Method,Firearms,36,73.5
2008,Western,Montana,Veteran Method,Other and low-count methods,13,26.5
2008,Western,Nevada,Veteran Method,Firearms,84,63.6
2008,Western,Nevada,Veteran Method,Poisoning,25,18.9
2008,Western,Nevada,Veteran Method,Other and low-count methods,23,17.4
2008,Western,New Mexico,Veteran Method,Firearms,40,64.5
2008,Western,New Mexico,Veteran Method,Other and low-count methods,22,35.5
2008,Western,Oregon,Veteran Method,Firearms,88,70.4
2008,Western,Oregon,Veteran Method,Suffocation,20,16
2008,Western,Oregon,Veteran Method,Other and low-count methods,17,13.6
2008,Western,Utah,Veteran Method,Firearms,33,63.5
2008,Western,Utah,Veteran Method,Other and low-count methods,19,36.5
2008,Western,Washington,Veteran Method,Firearms,113,63.5
2008,Western,Washington,Veteran Method,Poisoning,30,16.9
2008,Western,Washington,Veteran Method,Suffocation,24,13.5
2008,Western,Washington,Veteran Method,Other suicide,11,6.2
2008,Western,Wyoming,Veteran Method,Other and low-count methods,31,100
2009,All,U.S. Total,Veteran Method,Firearms,"4,391",67.2
2009,All,U.S. Total,Veteran Method,Poisoning,821,12.6
2009,All,U.S. Total,Veteran Method,Suffocation,960,14.7
2009,All,U.S. Total,Veteran Method,Other suicide,365,5.6
2009,Northeastern,Region Total,Veteran Method,Firearms,454,58.2
2009,Northeastern,Region Total,Veteran Method,Poisoning,103,13.2
2009,Northeastern,Region Total,Veteran Method,Suffocation,153,19.6
2009,Northeastern,Region Total,Veteran Method,Other suicide,70,9
2009,Northeastern,Connecticut,Veteran Method,Firearms,19,45.2
2009,Northeastern,Connecticut,Veteran Method,Suffocation,11,26.2
2009,Northeastern,Connecticut,Veteran Method,Other and low-count methods,12,28.6
2009,Northeastern,Maine,Veteran Method,Other and low-count methods,42,100
2009,Northeastern,Massachusetts,Veteran Method,Firearms,27,33.3
2009,Northeastern,Massachusetts,Veteran Method,Suffocation,32,39.5
2009,Northeastern,Massachusetts,Veteran Method,Other and low-count methods,22,27.2
2009,Northeastern,New Hampshire,Veteran Method,Firearms,18,60
