FIPS,county_name,total_households,living_alone,pct_living_alone
05037,"Cross County, Arkansas",6564.0,1691.0,25.76
05039,"Dallas County, Arkansas",2289.0,848.0,37.05
05041,"Desha County, Arkansas",4603.0,1592.0,34.59
05043,"Drew County, Arkansas",6913.0,2059.0,29.78
05045,"Faulkner County, Arkansas",47396.0,11645.0,24.57
05047,"Franklin County, Arkansas",6705.0,2080.0,31.02
05049,"Fulton County, Arkansas",4780.0,1655.0,34.62
05051,"Garland County, Arkansas",43220.0,12937.0,29.93
05053,"Grant County, Arkansas",6856.0,1845.0,26.91
05055,"Greene County, Arkansas",17741.0,4820.0,27.17
05057,"Hempstead County, Arkansas",7355.0,2383.0,32.4
05059,"Hot Spring County, Arkansas",11900.0,3225.0,27.1
05061,"Howard County, Arkansas",5224.0,1514.0,28.98
05063,"Independence County, Arkansas",14417.0,3943.0,27.35
05065,"Izard County, Arkansas",4850.0,1621.0,33.42
05067,"Jackson County, Arkansas",6116.0,2051.0,33.53
05069,"Jefferson County, Arkansas",24278.0,8164.0,33.63
05071,"Johnson County, Arkansas",9899.0,2870.0,28.99
05073,"Lafayette County, Arkansas",2547.0,755.0,29.64
05075,"Lawrence County, Arkansas",6359.0,1788.0,28.12
05077,"Lee County, Arkansas",2586.0,899.0,34.76
05079,"Lincoln County, Arkansas",3378.0,943.0,27.92
05081,"Little River County, Arkansas",4734.0,1383.0,29.21
05083,"Logan County, Arkansas",8405.0,2375.0,28.26
05085,"Lonoke County, Arkansas",27582.0,6576.0,23.84
05087,"Madison County, Arkansas",6250.0,1496.0,23.94
05089,"Marion County, Arkansas",7140.0,2144.0,30.03
05091,"Miller County, Arkansas",15863.0,5218.0,32.89
05093,"Mississippi County, Arkansas",15005.0,4439.0,29.58
05095,"Monroe County, Arkansas",2826.0,1215.0,42.99
05097,"Montgomery County, Arkansas",3589.0,979.0,27.28
05099,"Nevada County, Arkansas",3154.0,1122.0,35.57
05101,"Newton County, Arkansas",2905.0,843.0,29.02
05103,"Ouachita County, Arkansas",8459.0,2712.0,32.06
05105,"Perry County, Arkansas",3829.0,853.0,22.28
