state_name,location_address,update_date,std_full_address,user_id,std_city_name,country_name,tribal_land_name,federal_agency_code,std_stype_before,std_base_name,std_stype_after,refresh_date,std_name,create_date,city_name,federal_facility_code,tribal_land_code,site_type_name,registry_id,primary_name,std_state_code,county_name,small_bus_ind,source_of_data,std_street_name,postal_code,huc_code_12,sensitive_ind,std_county_fips,fips_code,pgm_sys_id,std_house_number,huc_code_8,std_county_name,location_description,std_prefix,std_country,public_ind,supplemental_location,epa_region_code,state_code,data_quality_code,addr_type,last_reported_date,std_postal_code,legislative_dist_num,std_loc_address,std_suffix,pgm_sys_acrnm
,15 MILES SOUTH OF DARBY MT ON W FORK,,,,,USA,,,,,,,,,WEST FORK,,,,110006366789,WEST FORK RANGER STATION,,RAVALLI,,SEMS,,59829,,,,,MT0141790089,,,,,,,Y,,8.0,MT,,,,,,,,SEMS
,15 MILES SOUTH OF DUGWAY UTAH,,,,,USA,,,,,,,,,DUGWAY,,,,110030826391,WH SAGE FLAT UDGD SITE 3,,TOOELE,,SEMS,,84022,,,,,UTN000802178,,,,,,,Y,,8.0,UT,,,,,,,,SEMS
,1 5 MILES SOUTH OF PICHER,,,,,USA,,,,,,,,,PICHER,,,,110071101622,CENTRAL MILL,,OTTAWA,,SEMS,,74360,,,,,OKN000605475,,,,,,,Y,,6.0,OK,,,,,,,,SEMS
,15 MILES SW OF BENNETT,,,,,USA,,,,,,,,,BENNETT,,,,110064796582,BENNETT ARMY NATIONAL GUARD FACILITY,,ADAMS,,SEMS,,80102,,,,,CO4211808015,,,,,,,Y,,8.0,CO,,,,,,,,SEMS
,1 5 MILES SW OF KIMBALL NE,,,,,USA,,,,,,,,,KIMBALL,,,,110024868758,AF FAC EX QUICK HEST 2,,KIMBALL,,SEMS,,69145,,,,,NEN000703411,,,,,,,Y,,7.0,NE,,,,,,,,SEMS
,15 MI NE OF WALLACE,,,,,USA,,,,,,,,,WALLACE,,,,110071102580,JACK WAITE MINE MILL SITE,,SHOSHONE,,SEMS,,83873,,,,,ID0001413715,,,,,,,Y,,10.0,ID,,,,,,,,SEMS
,15 MI N OF DEADHORSE,,,,,USA,,,,,,,,,DEADHORSE,,,,110064002056,USNAVY POINT MCINTYRE DEW LINE SITE,,NORTH SLOPE,,SEMS,,99734,,,,,AK0000656389,,,,,,,Y,,10.0,AK,,,,,,,,SEMS
,1 5 MI N OF FLORENCE,,,,,USA,,,,,,,,,FLORENCE,,,,110037149216,FLORENCE MILITARY RESERVATION,,PINAL,,SEMS,,85232,,,,,AZ0000307751,,,,,,,Y,,9.0,AZ,,,,,,,,SEMS
,1 5 MI SE OF TURK T29N R37E S1 SE1 4SW,,,,,USA,,,,,,,,,TURK,,,,110071997940,DEER TRAIL MINE MILL,,STEVENS,,SEMS,,99129,,,,,WAN001002355,,,,,,,Y,,10.0,WA,,,,,,,,SEMS
,15 MI SW OF CY ON HWY 93,,,,,USA,,,,,,,,,ARCO,,,,110064804760,USDOI NPS CRATERS OF MOON NM MARTIN MINE,,BUTTE,,SEMS,,83213,,,,,ID1141700053,,,,,,,Y,,10.0,ID,,,,,,,,SEMS
