FIPS,elevation_meters,elevation_feet
17061,162.0,531.49608
17063,172.0,564.30448
17065,135.0,442.9134
17067,211.0,692.25724
17069,157.0,515.09188
17071,202.0,662.72968
17073,208.0,682.41472
17075,197.0,646.32548
17077,153.0,501.96852
17079,147.0,482.28348
17081,148.0,485.56432
17083,184.0,603.67456
17085,246.0,807.08664
17087,165.0,541.3386
17089,268.0,879.26512
17091,194.0,636.48296
17093,208.0,682.41472
17095,205.0,672.5722
17097,215.0,705.3806
17099,167.0,547.90028
17101,153.0,501.96852
17103,241.0,790.68244
27107,278.0,912.07352
27109,370.0,1213.9107999999999
27111,404.0,1325.45936
27113,345.0,1131.8898
27115,341.0,1118.76644
27117,532.0,1745.40688
27119,299.0,980.9711599999999
27121,380.0,1246.7192
27123,286.0,938.32024
27125,340.0,1115.4856
27127,332.0,1089.2388799999999
27129,336.0,1102.36224
27131,338.0,1108.92392
27133,465.0,1525.5906
27135,336.0,1102.36224
27137,486.0,1594.48824
27139,286.0,938.32024
27141,303.0,994.09452
27143,305.0,1000.6562
27145,366.0,1200.78744
27147,360.0,1181.1024
27149,340.0,1115.4856
27151,312.0,1023.62208
27153,406.0,1332.02104
27155,311.0,1020.34124
27157,287.0,941.60108
27159,411.0,1348.42524
27161,326.0,1069.55384
27163,290.0,951.4436
27165,323.0,1059.71132
27167,298.0,977.69032
27169,360.0,1181.1024
27171,318.0,1043.30712
27173,324.0,1062.99216
28001,111.0,364.17324
28003,126.0,413.38584
28005,117.0,383.85828
28007,150.0,492.126
28009,142.0,465.87928
28011,42.0,137.79528
28013,112.0,367.45408
28015,120.0,393.7008
28017,126.0,413.38584
28019,168.0,551.18112
28021,80.0,262.4672
28023,88.0,288.71392
28025,83.0,272.30971999999997
28027,52.0,170.60368
28029,111.0,364.17324
28031,93.0,305.11812
28033,97.0,318.24148
28035,109.0,357.61156
28037,101.0,331.36484
28039,55.0,180.4462
28041,47.0,154.19948
28043,62.0,203.41208
28045,8.0,26.24672
28047,2.0,6.56168
28049,89.0,291.99476
28051,81.0,265.74804
28053,31.0,101.70604
28055,26.0,85.30184
28057,145.0,475.7218
28059,10.0,32.8084
28061,101.0,331.36484
28063,99.0,324.80316
28065,141.0,462.59844
28067,61.0,200.13124
28069,114.0,374.01576
28071,155.0,508.5302
28073,104.0,341.20736
28075,103.0,337.92652
28077,62.0,203.41208
28079,135.0,442.9134
28081,79.0,259.18636
28083,39.0,127.95276
28085,138.0,452.75592
28087,53.0,173.88452
28089,77.0,252.62468
28091,47.0,154.19948
28093,173.0,567.58532
28095,69.0,226.37796
28097,135.0,442.9134
28099,137.0,449.47508
28101,145.0,475.7218
28103,54.0,177.16536
28105,93.0,305.11812
28107,99.0,324.80316
28109,68.0,223.09712
28111,74.0,242.78216
28113,122.0,400.26248
28115,139.0,456.03676
28117,139.0,456.03676
28119,47.0,154.19948
28121,131.0,429.79004
28123,154.0,505.24936
28125,46.0,150.91864
28127,130.0,426.5092
28129,132.0,433.07088
28131,48.0,157.48032
28133,38.0,124.67192
28135,42.0,137.79528
28137,91.0,298.55644
28139,166.0,544.6194399999999
28141,192.0,629.92128
28143,55.0,180.4462
28145,129.0,423.22836
28147,103.0,337.92652
28149,86.0,282.15224
28151,33.0,108.26772
28153,62.0,203.41208
28155,161.0,528.21524
28157,94.0,308.39896
28159,164.0,538.05776
28161,119.0,390.41996
28163,66.0,216.53544
29001,297.0,974.40948
29003,295.0,967.8478
29005,317.0,1040.02628
29007,244.0,800.52496
29009,422.0,1384.51448
29011,298.0,977.69032
29013,264.0,866.14176
29015,242.0,793.9632799999999
29017,137.0,449.47508
29019,219.0,718.50396
29021,326.0,1069.55384
29023,98.0,321.52232
29025,270.0,885.8268
29027,244.0,800.52496
29029,304.0,997.37536
29031,139.0,456.03676
29033,247.0,810.36748
29035,244.0,800.52496
29037,274.0,898.95016
29039,270.0,885.8268
29041,211.0,692.25724
29043,410.0,1345.1444
29045,214.0,702.09976
29047,269.0,882.54596
29049,302.0,990.81368
29051,214.0,702.09976
29053,239.0,784.12076
29055,283.0,928.47772
29057,320.0,1049.8688
29059,318.0,1043.30712
29061,250.0,820.21
29063,299.0,980.9711599999999
29065,378.0,1240.15752
29067,341.0,1118.76644
29069,76.0,249.34384
29071,207.0,679.13388
29073,260.0,853.0184
29075,254.0,833.33336
29077,372.0,1220.47248
29079,254.0,833.33336
29081,310.0,1017.0604
29083,239.0,784.12076
29085,234.0,767.71656
29087,263.0,862.86092
29089,202.0,662.72968
29091,344.0,1128.60896
29093,489.0,1604.33076
29095,259.0,849.73756
29097,311.0,1020.34124
29099,229.0,751.31236
29101,242.0,793.9632799999999
29103,222.0,728.34648
29105,381.0,1250.00004
29107,248.0,813.64832
29109,371.0,1217.19164
29111,199.0,652.88716
29113,218.0,715.22312
29115,252.0,826.77168
29117,222.0,728.34648
29119,305.0,1000.6562
29121,243.0,797.24412
29123,323.0,1059.71132
29125,267.0,875.98428
29127,205.0,672.5722
29129,283.0,928.47772
29131,245.0,803.8058
29133,95.0,311.6798
29135,265.0,869.4226
29137,225.0,738.189
29139,257.0,843.17588
29141,320.0,1049.8688
29143,84.0,275.59056
29145,340.0,1115.4856
29147,353.0,1158.13652
29149,266.0,872.70344
29151,276.0,905.51184
29153,365.0,1197.5066
29155,80.0,262.4672
29157,162.0,531.49608
29159,227.0,744.75068
29161,306.0,1003.93704
29163,266.0,872.70344
29165,246.0,807.08664
29167,320.0,1049.8688
29169,237.0,777.55908
29171,321.0,1053.14964
29173,214.0,702.09976
29175,254.0,833.33336
29177,228.0,748.03152
29179,331.0,1085.95804
29181,142.0,465.87928
29183,173.0,567.58532
29185,242.0,793.9632799999999
29186,197.0,646.32548
29187,338.0,1108.92392
29189,199.0,652.88716
29195,235.0,770.9974
29197,289.0,948.16276
29199,233.0,764.43572
29201,99.0,324.80316
29203,256.0,839.89504
29205,227.0,744.75068
29207,163.0,534.77692
29209,339.0,1112.20476
29211,253.0,830.05252
29213,276.0,905.51184
29215,363.0,1190.94492
29217,259.0,849.73756
29219,266.0,872.70344
29221,329.0,1079.39636
29223,167.0,547.90028
29225,463.0,1519.02892
29227,315.0,1033.4646
29229,368.0,1207.34912
29510,143.0,469.16012
30001,1943.0,6374.67212
30003,1110.0,3641.7324
30005,822.0,2696.85048
30007,1166.0,3825.45944
30009,1184.0,3884.51456
30011,1036.0,3398.95024
30013,1238.0,4061.67992
30015,859.0,2818.24156
30017,891.0,2923.22844
30019,764.0,2506.56176
30021,781.0,2562.33604
30023,2664.0,8740.15776
30025,924.0,3031.49616
30027,1823.0,5980.97132
30029,2039.0,6689.6327599999995
