FIPS,county_name,median_age
12079,"Madison County, Florida",44.5
12081,"Manatee County, Florida",49.4
12083,"Marion County, Florida",48.5
12085,"Martin County, Florida",53.2
12086,"Miami-Dade County, Florida",40.6
12087,"Monroe County, Florida",48.3
12089,"Nassau County, Florida",46.3
12091,"Okaloosa County, Florida",37.1
12093,"Okeechobee County, Florida",40.8
12095,"Orange County, Florida",35.9
12097,"Osceola County, Florida",36.6
12099,"Palm Beach County, Florida",45.2
12101,"Pasco County, Florida",43.9
12103,"Pinellas County, Florida",48.8
12105,"Polk County, Florida",39.8
12107,"Putnam County, Florida",45.1
12109,"St. Johns County, Florida",44.0
12111,"St. Lucie County, Florida",45.3
12113,"Santa Rosa County, Florida",40.0
12115,"Sarasota County, Florida",57.1
12117,"Seminole County, Florida",39.6
12119,"Sumter County, Florida",68.3
12121,"Suwannee County, Florida",42.8
12123,"Taylor County, Florida",44.3
12125,"Union County, Florida",39.7
12127,"Volusia County, Florida",46.5
12129,"Wakulla County, Florida",42.3
12131,"Walton County, Florida",44.4
12133,"Washington County, Florida",41.6
13001,"Appling County, Georgia",39.6
13003,"Atkinson County, Georgia",35.5
13005,"Bacon County, Georgia",38.1
13007,"Baker County, Georgia",47.0
13009,"Baldwin County, Georgia",36.1
13011,"Banks County, Georgia",42.3
13013,"Barrow County, Georgia",36.2
13015,"Bartow County, Georgia",38.2
13017,"Ben Hill County, Georgia",38.7
13019,"Berrien County, Georgia",39.8
13021,"Bibb County, Georgia",36.5
13023,"Bleckley County, Georgia",37.7
13025,"Brantley County, Georgia",40.2
13027,"Brooks County, Georgia",42.6
13029,"Bryan County, Georgia",34.4
13031,"Bulloch County, Georgia",29.7
13033,"Burke County, Georgia",38.8
13035,"Butts County, Georgia",38.7
13037,"Calhoun County, Georgia",39.2
13039,"Camden County, Georgia",34.0
13043,"Candler County, Georgia",41.6
13045,"Carroll County, Georgia",35.2
13047,"Catoosa County, Georgia",40.8
13049,"Charlton County, Georgia",39.4
13051,"Chatham County, Georgia",36.7
13053,"Chattahoochee County, Georgia",23.9
13055,"Chattooga County, Georgia",40.2
13057,"Cherokee County, Georgia",39.7
13059,"Clarke County, Georgia",28.9
13061,"Clay County, Georgia",42.7
13063,"Clayton County, Georgia",33.0
13065,"Clinch County, Georgia",38.4
13067,"Cobb County, Georgia",37.2
13069,"Coffee County, Georgia",36.4
13071,"Colquitt County, Georgia",37.1
13073,"Columbia County, Georgia",37.4
13075,"Cook County, Georgia",37.3
13077,"Coweta County, Georgia",39.1
13079,"Crawford County, Georgia",45.8
13081,"Crisp County, Georgia",40.4
13083,"Dade County, Georgia",42.5
13085,"Dawson County, Georgia",43.9
13087,"Decatur County, Georgia",38.3
13089,"DeKalb County, Georgia",36.3
13091,"Dodge County, Georgia",42.0
13093,"Dooly County, Georgia",45.1
