FIPS,county_name,median_age
17193,"White County, Illinois",44.7
17195,"Whiteside County, Illinois",43.5
17197,"Will County, Illinois",38.7
17199,"Williamson County, Illinois",41.2
17201,"Winnebago County, Illinois",39.5
17203,"Woodford County, Illinois",40.1
18001,"Adams County, Indiana",33.4
18003,"Allen County, Indiana",36.1
18005,"Bartholomew County, Indiana",38.0
18007,"Benton County, Indiana",40.4
18009,"Blackford County, Indiana",44.0
18011,"Boone County, Indiana",38.3
18013,"Brown County, Indiana",50.7
18015,"Carroll County, Indiana",43.1
18017,"Cass County, Indiana",41.3
18019,"Clark County, Indiana",39.6
18021,"Clay County, Indiana",41.1
18023,"Clinton County, Indiana",36.7
18025,"Crawford County, Indiana",44.6
18027,"Daviess County, Indiana",34.9
18029,"Dearborn County, Indiana",42.3
18031,"Decatur County, Indiana",39.7
18033,"DeKalb County, Indiana",38.1
18035,"Delaware County, Indiana",35.6
18037,"Dubois County, Indiana",40.0
18039,"Elkhart County, Indiana",35.6
18041,"Fayette County, Indiana",43.0
18043,"Floyd County, Indiana",39.8
18045,"Fountain County, Indiana",43.1
18047,"Franklin County, Indiana",41.8
18049,"Fulton County, Indiana",40.9
