Year of Death,Geographic Region,State,Sex,Veteran Suicides
2001,Southern,Delaware,Female,<10
2001,Southern,Delaware,All,22
2001,Southern,District of Columbia,Male,<10
2001,Southern,District of Columbia,Female,<10
2001,Southern,District of Columbia,All,<10
2001,Southern,Florida,Male,506
2001,Southern,Florida,Female,14
2001,Southern,Florida,All,521
2001,Southern,Georgia,Male,150-159
2001,Southern,Georgia,Female,<10
2001,Southern,Georgia,All,154
2001,Southern,Kentucky,Male,70-79
2001,Southern,Kentucky,Female,<10
2001,Southern,Kentucky,All,74
2001,Southern,Louisiana,Male,90-99
2001,Southern,Louisiana,Female,<10
2001,Southern,Louisiana,All,102
2001,Southern,Maryland,Male,70-79
2001,Southern,Maryland,Female,<10
2001,Southern,Maryland,All,80
2001,Southern,Mississippi,Male,60-69
2001,Southern,Mississippi,Female,<10
2001,Southern,Mississippi,All,64
2001,Southern,North Carolina,Male,180-189
2001,Southern,North Carolina,Female,<10
2001,Southern,North Carolina,All,185
2001,Southern,Oklahoma,Male,100-109
2001,Southern,Oklahoma,Female,<10
2001,Southern,Oklahoma,All,107
2001,Southern,South Carolina,Male,80-89
2001,Southern,South Carolina,Female,<10
2001,Southern,South Carolina,All,94
2001,Southern,Tennessee,Male,140-149
2001,Southern,Tennessee,Female,<10
2001,Southern,Tennessee,All,151
2001,Southern,Texas,Male,408
2001,Southern,Texas,Female,13
2001,Southern,Texas,All,421
2001,Southern,Virginia,Male,150-159
2001,Southern,Virginia,Female,<10
2001,Southern,Virginia,All,159
2001,Southern,West Virginia,Male,60-69
2001,Southern,West Virginia,Female,<10
2001,Southern,West Virginia,All,68
2001,Western,Alaska,Male,10-19
2001,Western,Alaska,Female,<10
2001,Western,Alaska,All,15
2001,Western,Arizona,Male,160-169
2001,Western,Arizona,Female,<10
2001,Western,Arizona,All,169
2001,Western,California,Male,460-469
2001,Western,California,Female,<10
2001,Western,California,All,476
2001,Western,Colorado,Male,130-139
2001,Western,Colorado,Female,<10
2001,Western,Colorado,All,143
2001,Western,Hawaii,Male,20-29
2001,Western,Hawaii,Female,<10
2001,Western,Hawaii,All,31
2001,Western,Idaho,Male,30-39
2001,Western,Idaho,Female,<10
2001,Western,Idaho,All,36
2001,Western,Montana,Male,40-49
2001,Western,Montana,Female,<10
2001,Western,Montana,All,43
2001,Western,Nevada,Male,100-109
2001,Western,Nevada,Female,<10
2001,Western,Nevada,All,115
2001,Western,New Mexico,Male,70-79
2001,Western,New Mexico,Female,<10
2001,Western,New Mexico,All,78
2001,Western,Oregon,Male,120-129
2001,Western,Oregon,Female,<10
2001,Western,Oregon,All,129
2001,Western,Utah,Male,50-59
2001,Western,Utah,Female,<10
2001,Western,Utah,All,57
2001,Western,Washington,Male,150-159
2001,Western,Washington,Female,<10
2001,Western,Washington,All,162
2001,Western,Wyoming,Male,10-19
2001,Western,Wyoming,Female,<10
2001,Western,Wyoming,All,19
2001,All,U.S. Total,Male,5861
2001,All,U.S. Total,Female,155
2001,All,U.S. Total,All,6021
2002,Northeastern,Connecticut,Male,40-49
2002,Northeastern,Connecticut,Female,<10
2002,Northeastern,Connecticut,All,45
2002,Northeastern,Maine,Male,30-39
2002,Northeastern,Maine,Female,<10
2002,Northeastern,Maine,All,38
2002,Northeastern,Massachusetts,Male,80-89
2002,Northeastern,Massachusetts,Female,<10
2002,Northeastern,Massachusetts,All,84
2002,Northeastern,New Hampshire,Male,20-29
2002,Northeastern,New Hampshire,Female,<10
2002,Northeastern,New Hampshire,All,29
2002,Northeastern,New Jersey,Male,80-89
2002,Northeastern,New Jersey,Female,<10
2002,Northeastern,New Jersey,All,87
2002,Northeastern,New York,Male,130-139
2002,Northeastern,New York,Female,<10
2002,Northeastern,New York,All,139
2002,Northeastern,Pennsylvania,Male,260-269
2002,Northeastern,Pennsylvania,Female,<10
2002,Northeastern,Pennsylvania,All,265
2002,Northeastern,Rhode Island,Male,10-19
2002,Northeastern,Rhode Island,Female,<10
2002,Northeastern,Rhode Island,All,14
2002,Northeastern,Vermont,Male,10-19
2002,Northeastern,Vermont,Female,<10
2002,Northeastern,Vermont,All,15
2002,Midwestern,Illinois,Male,200-209
2002,Midwestern,Illinois,Female,<10
2002,Midwestern,Illinois,All,217
2002,Midwestern,Indiana,Male,140-149
2002,Midwestern,Indiana,Female,<10
2002,Midwestern,Indiana,All,150
2002,Midwestern,Iowa,Male,50-59
2002,Midwestern,Iowa,Female,<10
2002,Midwestern,Iowa,All,57
2002,Midwestern,Kansas,Male,70-79
2002,Midwestern,Kansas,Female,<10
2002,Midwestern,Kansas,All,77
2002,Midwestern,Michigan,Male,190-199
2002,Midwestern,Michigan,Female,<10
2002,Midwestern,Michigan,All,198
2002,Midwestern,Minnesota,Male,90-99
2002,Midwestern,Minnesota,Female,<10
2002,Midwestern,Minnesota,All,99
2002,Midwestern,Missouri,Male,160-169
2002,Midwestern,Missouri,Female,<10
2002,Midwestern,Missouri,All,170
2002,Midwestern,Nebraska,Male,30-39
2002,Midwestern,Nebraska,Female,<10
2002,Midwestern,Nebraska,All,38
2002,Midwestern,North Dakota,Male,10-19
2002,Midwestern,North Dakota,Female,<10
2002,Midwestern,North Dakota,All,21
2002,Midwestern,Ohio,Male,260-269
2002,Midwestern,Ohio,Female,<10
2002,Midwestern,Ohio,All,272
2002,Midwestern,South Dakota,Male,20-29
2002,Midwestern,South Dakota,Female,<10
2002,Midwestern,South Dakota,All,25
2002,Midwestern,Wisconsin,Male,110-119
2002,Midwestern,Wisconsin,Female,<10
2002,Midwestern,Wisconsin,All,120
2002,Southern,Alabama,Male,90-99
2002,Southern,Alabama,Female,<10
2002,Southern,Alabama,All,99
2002,Southern,Arkansas,Male,70-79
2002,Southern,Arkansas,Female,<10
2002,Southern,Arkansas,All,75
2002,Southern,Delaware,Male,10-19
2002,Southern,Delaware,Female,<10
2002,Southern,Delaware,All,12
2002,Southern,District of Columbia,Male,<10
2002,Southern,District of Columbia,Female,<10
2002,Southern,District of Columbia,All,<10
2002,Southern,Florida,Male,486
2002,Southern,Florida,Female,11
2002,Southern,Florida,All,497
2002,Southern,Georgia,Male,170-179
2002,Southern,Georgia,Female,<10
2002,Southern,Georgia,All,182
2002,Southern,Kentucky,Male,90-99
2002,Southern,Kentucky,Female,<10
2002,Southern,Kentucky,All,99
2002,Southern,Louisiana,Male,90-99
2002,Southern,Louisiana,Female,<10
2002,Southern,Louisiana,All,101
2002,Southern,Maryland,Male,80-89
2002,Southern,Maryland,Female,<10
2002,Southern,Maryland,All,89
2002,Southern,Mississippi,Male,70-79
2002,Southern,Mississippi,Female,<10
2002,Southern,Mississippi,All,78
2002,Southern,North Carolina,Male,180-189
2002,Southern,North Carolina,Female,<10
2002,Southern,North Carolina,All,186
2002,Southern,Oklahoma,Male,90-99
2002,Southern,Oklahoma,Female,<10
2002,Southern,Oklahoma,All,97
2002,Southern,South Carolina,Male,80-89
2002,Southern,South Carolina,Female,<10
2002,Southern,South Carolina,All,90
2002,Southern,Tennessee,Male,150-159
2002,Southern,Tennessee,Female,<10
2002,Southern,Tennessee,All,161
2002,Southern,Texas,Male,417
2002,Southern,Texas,Female,13
2002,Southern,Texas,All,430
2002,Southern,Virginia,Male,170-179
2002,Southern,Virginia,Female,<10
2002,Southern,Virginia,All,183
2002,Southern,West Virginia,Male,50-59
2002,Southern,West Virginia,Female,<10
2002,Southern,West Virginia,All,59
2002,Western,Alaska,Male,20-29
2002,Western,Alaska,Female,<10
2002,Western,Alaska,All,24
2002,Western,Arizona,Male,190-199
2002,Western,Arizona,Female,<10
2002,Western,Arizona,All,203
2002,Western,California,Male,504
2002,Western,California,Female,12
2002,Western,California,All,516
2002,Western,Colorado,Male,150-159
2002,Western,Colorado,Female,<10
2002,Western,Colorado,All,160
2002,Western,Hawaii,Male,10-19
2002,Western,Hawaii,Female,<10
2002,Western,Hawaii,All,21
2002,Western,Idaho,Male,40-49
2002,Western,Idaho,Female,<10
2002,Western,Idaho,All,44
2002,Western,Montana,Male,30-39
2002,Western,Montana,Female,<10
2002,Western,Montana,All,36
2002,Western,Nevada,Male,100-109
2002,Western,Nevada,Female,<10
2002,Western,Nevada,All,108
2002,Western,New Mexico,Male,70-79
2002,Western,New Mexico,Female,<10
2002,Western,New Mexico,All,78
2002,Western,Oregon,Male,120-129
2002,Western,Oregon,Female,<10
2002,Western,Oregon,All,132
2002,Western,Utah,Male,50-59
2002,Western,Utah,Female,<10
2002,Western,Utah,All,51
2002,Western,Washington,Male,150-159
2002,Western,Washington,Female,<10
2002,Western,Washington,All,165
2002,Western,Wyoming,Male,20-29
2002,Western,Wyoming,Female,<10
2002,Western,Wyoming,All,23
2002,All,U.S. Total,Male,6027
2002,All,U.S. Total,Female,134
2002,All,U.S. Total,All,6163
2003,Northeastern,Connecticut,Male,40-49
2003,Northeastern,Connecticut,Female,<10
2003,Northeastern,Connecticut,All,50
2003,Northeastern,Maine,Male,30-39
2003,Northeastern,Maine,Female,<10
2003,Northeastern,Maine,All,33
2003,Northeastern,Massachusetts,Male,60-69
2003,Northeastern,Massachusetts,Female,<10
2003,Northeastern,Massachusetts,All,73
2003,Northeastern,New Hampshire,Male,30-39
2003,Northeastern,New Hampshire,Female,<10
2003,Northeastern,New Hampshire,All,40
2003,Northeastern,New Jersey,Male,70-79
2003,Northeastern,New Jersey,Female,<10
2003,Northeastern,New Jersey,All,80
2003,Northeastern,New York,Male,180-189
2003,Northeastern,New York,Female,<10
2003,Northeastern,New York,All,189
2003,Northeastern,Pennsylvania,Male,270-279
2003,Northeastern,Pennsylvania,Female,<10
2003,Northeastern,Pennsylvania,All,275
2003,Northeastern,Rhode Island,Male,10-19
2003,Northeastern,Rhode Island,Female,<10
2003,Northeastern,Rhode Island,All,19
2003,Northeastern,Vermont,Male,10-19
2003,Northeastern,Vermont,Female,<10
2003,Northeastern,Vermont,All,15
2003,Midwestern,Illinois,Male,160-169
2003,Midwestern,Illinois,Female,<10
2003,Midwestern,Illinois,All,171
2003,Midwestern,Indiana,Male,130-139
2003,Midwestern,Indiana,Female,<10
2003,Midwestern,Indiana,All,137
2003,Midwestern,Iowa,Male,70-79
2003,Midwestern,Iowa,Female,<10
2003,Midwestern,Iowa,All,76
2003,Midwestern,Kansas,Male,60-69
2003,Midwestern,Kansas,Female,<10
2003,Midwestern,Kansas,All,67
2003,Midwestern,Michigan,Male,170-179
2003,Midwestern,Michigan,Female,<10
2003,Midwestern,Michigan,All,180
2003,Midwestern,Minnesota,Male,80-89
2003,Midwestern,Minnesota,Female,<10
2003,Midwestern,Minnesota,All,93
2003,Midwestern,Missouri,Male,140-149
2003,Midwestern,Missouri,Female,<10
2003,Midwestern,Missouri,All,152
2003,Midwestern,Nebraska,Male,20-29
2003,Midwestern,Nebraska,Female,<10
2003,Midwestern,Nebraska,All,29
2003,Midwestern,North Dakota,Male,10-19
2003,Midwestern,North Dakota,Female,<10
2003,Midwestern,North Dakota,All,18
2003,Midwestern,Ohio,Male,210-219
2003,Midwestern,Ohio,Female,<10
2003,Midwestern,Ohio,All,218
2003,Midwestern,South Dakota,Male,20-29
2003,Midwestern,South Dakota,Female,<10
2003,Midwestern,South Dakota,All,22
2003,Midwestern,Wisconsin,Male,130-139
2003,Midwestern,Wisconsin,Female,<10
2003,Midwestern,Wisconsin,All,136
2003,Southern,Alabama,Male,100-109
2003,Southern,Alabama,Female,<10
2003,Southern,Alabama,All,114
2003,Southern,Arkansas,Male,80-89
2003,Southern,Arkansas,Female,<10
2003,Southern,Arkansas,All,88
2003,Southern,Delaware,Male,10-19
2003,Southern,Delaware,Female,<10
2003,Southern,Delaware,All,20
2003,Southern,District of Columbia,Male,<10
2003,Southern,District of Columbia,Female,<10
2003,Southern,District of Columbia,All,<10
2003,Southern,Florida,Male,480
2003,Southern,Florida,Female,14
2003,Southern,Florida,All,494
2003,Southern,Georgia,Male,180-189
2003,Southern,Georgia,Female,<10
2003,Southern,Georgia,All,189
2003,Southern,Kentucky,Male,90-99
2003,Southern,Kentucky,Female,<10
2003,Southern,Kentucky,All,102
2003,Southern,Louisiana,Male,70-79
2003,Southern,Louisiana,Female,<10
2003,Southern,Louisiana,All,77
2003,Southern,Maryland,Male,80-89
2003,Southern,Maryland,Female,<10
2003,Southern,Maryland,All,89
2003,Southern,Mississippi,Male,70-79
2003,Southern,Mississippi,Female,<10
2003,Southern,Mississippi,All,78
2003,Southern,North Carolina,Male,170-179
2003,Southern,North Carolina,Female,<10
2003,Southern,North Carolina,All,177
2003,Southern,Oklahoma,Male,90-99
2003,Southern,Oklahoma,Female,<10
2003,Southern,Oklahoma,All,95
2003,Southern,South Carolina,Male,100-109
2003,Southern,South Carolina,Female,<10
2003,Southern,South Carolina,All,110
2003,Southern,Tennessee,Male,130-139
2003,Southern,Tennessee,Female,<10
2003,Southern,Tennessee,All,139
2003,Southern,Texas,Male,430
2003,Southern,Texas,Female,15
2003,Southern,Texas,All,445
2003,Southern,Virginia,Male,140-149
2003,Southern,Virginia,Female,<10
2003,Southern,Virginia,All,146
2003,Southern,West Virginia,Male,60-69
2003,Southern,West Virginia,Female,<10
2003,Southern,West Virginia,All,64
2003,Western,Alaska,Male,20-29
2003,Western,Alaska,Female,<10
2003,Western,Alaska,All,26
2003,Western,Arizona,Male,150-159
2003,Western,Arizona,Female,<10
2003,Western,Arizona,All,156
2003,Western,California,Male,505
2003,Western,California,Female,15
2003,Western,California,All,520
2003,Western,Colorado,Male,140-149
2003,Western,Colorado,Female,<10
2003,Western,Colorado,All,151
2003,Western,Hawaii,Male,10-19
2003,Western,Hawaii,Female,<10
2003,Western,Hawaii,All,20
2003,Western,Idaho,Male,40-49
2003,Western,Idaho,Female,<10
2003,Western,Idaho,All,50
2003,Western,Montana,Male,40-49
2003,Western,Montana,Female,<10
2003,Western,Montana,All,45
2003,Western,Nevada,Male,100-109
2003,Western,Nevada,Female,<10
2003,Western,Nevada,All,111
2003,Western,New Mexico,Male,50-59
2003,Western,New Mexico,Female,<10
2003,Western,New Mexico,All,60
2003,Western,Oregon,Male,130-139
2003,Western,Oregon,Female,<10
2003,Western,Oregon,All,142
2003,Western,Utah,Male,50-59
2003,Western,Utah,Female,<10
2003,Western,Utah,All,56
2003,Western,Washington,Male,140-149
2003,Western,Washington,Female,<10
2003,Western,Washington,All,154
2003,Western,Wyoming,Male,20-29
2003,Western,Wyoming,Female,<10
2003,Western,Wyoming,All,27
2003,All,U.S. Total,Male,5868
2003,All,U.S. Total,Female,153
2003,All,U.S. Total,All,6022
2004,Northeastern,Connecticut,Male,40-49
2004,Northeastern,Connecticut,Female,<10
2004,Northeastern,Connecticut,All,43
2004,Northeastern,Maine,Male,20-29
2004,Northeastern,Maine,Female,<10
2004,Northeastern,Maine,All,29
2004,Northeastern,Massachusetts,Male,60-69
2004,Northeastern,Massachusetts,Female,<10
2004,Northeastern,Massachusetts,All,71
2004,Northeastern,New Hampshire,Male,20-29
2004,Northeastern,New Hampshire,Female,<10
2004,Northeastern,New Hampshire,All,28
2004,Northeastern,New Jersey,Male,90-99
2004,Northeastern,New Jersey,Female,<10
2004,Northeastern,New Jersey,All,98
2004,Northeastern,New York,Male,170-179
2004,Northeastern,New York,Female,<10
2004,Northeastern,New York,All,181
2004,Northeastern,Pennsylvania,Male,240-249
2004,Northeastern,Pennsylvania,Female,<10
2004,Northeastern,Pennsylvania,All,249
2004,Northeastern,Rhode Island,Male,10-19
2004,Northeastern,Rhode Island,Female,<10
2004,Northeastern,Rhode Island,All,16
2004,Northeastern,Vermont,Male,10-19
2004,Northeastern,Vermont,Female,<10
2004,Northeastern,Vermont,All,20
2004,Midwestern,Illinois,Male,160-169
2004,Midwestern,Illinois,Female,<10
2004,Midwestern,Illinois,All,165
2004,Midwestern,Indiana,Male,130-139
2004,Midwestern,Indiana,Female,<10
2004,Midwestern,Indiana,All,133
2004,Midwestern,Iowa,Male,50-59
2004,Midwestern,Iowa,Female,<10
2004,Midwestern,Iowa,All,57
2004,Midwestern,Kansas,Male,60-69
2004,Midwestern,Kansas,Female,<10
2004,Midwestern,Kansas,All,67
2004,Midwestern,Michigan,Male,200-209
2004,Midwestern,Michigan,Female,<10
2004,Midwestern,Michigan,All,203
2004,Midwestern,Minnesota,Male,100-109
2004,Midwestern,Minnesota,Female,<10
2004,Midwestern,Minnesota,All,108
2004,Midwestern,Missouri,Male,130-139
2004,Midwestern,Missouri,Female,<10
2004,Midwestern,Missouri,All,145
2004,Midwestern,Nebraska,Male,30-39
2004,Midwestern,Nebraska,Female,<10
2004,Midwestern,Nebraska,All,32
2004,Midwestern,North Dakota,Male,10-19
2004,Midwestern,North Dakota,Female,<10
2004,Midwestern,North Dakota,All,14
2004,Midwestern,Ohio,Male,210-219
2004,Midwestern,Ohio,Female,<10
2004,Midwestern,Ohio,All,226
2004,Midwestern,South Dakota,Male,20-29
2004,Midwestern,South Dakota,Female,<10
2004,Midwestern,South Dakota,All,22
2004,Midwestern,Wisconsin,Male,90-99
2004,Midwestern,Wisconsin,Female,<10
2004,Midwestern,Wisconsin,All,97
2004,Southern,Alabama,Male,110-119
2004,Southern,Alabama,Female,<10
2004,Southern,Alabama,All,113
2004,Southern,Arkansas,Male,80-89
2004,Southern,Arkansas,Female,<10
2004,Southern,Arkansas,All,90
2004,Southern,Delaware,Male,10-19
2004,Southern,Delaware,Female,<10
2004,Southern,Delaware,All,15
2004,Southern,District of Columbia,Male,<10
2004,Southern,District of Columbia,Female,<10
2004,Southern,District of Columbia,All,<10
2004,Southern,Florida,Male,462
2004,Southern,Florida,Female,22
2004,Southern,Florida,All,484
2004,Southern,Georgia,Male,180-189
2004,Southern,Georgia,Female,<10
2004,Southern,Georgia,All,187
2004,Southern,Kentucky,Male,110-119
2004,Southern,Kentucky,Female,<10
2004,Southern,Kentucky,All,117
2004,Southern,Louisiana,Male,100-109
2004,Southern,Louisiana,Female,<10
2004,Southern,Louisiana,All,109
2004,Southern,Maryland,Male,90-99
2004,Southern,Maryland,Female,<10
2004,Southern,Maryland,All,97
2004,Southern,Mississippi,Male,70-79
2004,Southern,Mississippi,Female,<10
2004,Southern,Mississippi,All,78
2004,Southern,North Carolina,Male,180-189
2004,Southern,North Carolina,Female,<10
2004,Southern,North Carolina,All,193
2004,Southern,Oklahoma,Male,100-109
2004,Southern,Oklahoma,Female,<10
2004,Southern,Oklahoma,All,110
2004,Southern,South Carolina,Male,90-99
2004,Southern,South Carolina,Female,<10
2004,Southern,South Carolina,All,100
2004,Southern,Tennessee,Male,150-159
2004,Southern,Tennessee,Female,<10
2004,Southern,Tennessee,All,155
2004,Southern,Texas,Male,430-439
2004,Southern,Texas,Female,<10
2004,Southern,Texas,All,441
2004,Southern,Virginia,Male,150-159
2004,Southern,Virginia,Female,<10
2004,Southern,Virginia,All,160
2004,Southern,West Virginia,Male,60-69
2004,Southern,West Virginia,Female,<10
2004,Southern,West Virginia,All,71
2004,Western,Alaska,Male,10-19
2004,Western,Alaska,Female,<10
2004,Western,Alaska,All,20
2004,Western,Arizona,Male,160-169
2004,Western,Arizona,Female,<10
2004,Western,Arizona,All,168
2004,Western,California,Male,489
2004,Western,California,Female,18
2004,Western,California,All,507
2004,Western,Colorado,Male,150-159
2004,Western,Colorado,Female,<10
2004,Western,Colorado,All,161
2004,Western,Hawaii,Male,10-19
2004,Western,Hawaii,Female,<10
2004,Western,Hawaii,All,17
2004,Western,Idaho,Male,30-39
2004,Western,Idaho,Female,<10
2004,Western,Idaho,All,35
2004,Western,Montana,Male,30-39
2004,Western,Montana,Female,<10
2004,Western,Montana,All,38
2004,Western,Nevada,Male,110-119
2004,Western,Nevada,Female,<10
2004,Western,Nevada,All,112
2004,Western,New Mexico,Male,60-69
2004,Western,New Mexico,Female,<10
2004,Western,New Mexico,All,67
2004,Western,Oregon,Male,120-129
2004,Western,Oregon,Female,<10
2004,Western,Oregon,All,131
2004,Western,Utah,Male,50-59
2004,Western,Utah,Female,<10
2004,Western,Utah,All,54
2004,Western,Washington,Male,150-159
2004,Western,Washington,Female,<10
2004,Western,Washington,All,161
2004,Western,Wyoming,Male,20-29
2004,Western,Wyoming,Female,<10
2004,Western,Wyoming,All,24
2004,All,U.S. Total,Male,5851
2004,All,U.S. Total,Female,167
2004,All,U.S. Total,All,6021
2005,Northeastern,Connecticut,Male,40-49
2005,Northeastern,Connecticut,Female,<10
2005,Northeastern,Connecticut,All,50
2005,Northeastern,Maine,Male,40-49
2005,Northeastern,Maine,Female,<10
2005,Northeastern,Maine,All,46
2005,Northeastern,Massachusetts,Male,60-69
2005,Northeastern,Massachusetts,Female,<10
2005,Northeastern,Massachusetts,All,68
2005,Northeastern,New Hampshire,Male,30-39
2005,Northeastern,New Hampshire,Female,<10
2005,Northeastern,New Hampshire,All,33
2005,Northeastern,New Jersey,Male,60-69
2005,Northeastern,New Jersey,Female,<10
2005,Northeastern,New Jersey,All,65
2005,Northeastern,New York,Male,160-169
2005,Northeastern,New York,Female,<10
2005,Northeastern,New York,All,167
2005,Northeastern,Pennsylvania,Male,280-289
2005,Northeastern,Pennsylvania,Female,<10
2005,Northeastern,Pennsylvania,All,289
2005,Northeastern,Rhode Island,Male,10-19
2005,Northeastern,Rhode Island,Female,<10
2005,Northeastern,Rhode Island,All,13
2005,Northeastern,Vermont,Male,10-19
2005,Northeastern,Vermont,Female,<10
2005,Northeastern,Vermont,All,14
2005,Midwestern,Illinois,Male,190-199
2005,Midwestern,Illinois,Female,<10
2005,Midwestern,Illinois,All,204
2005,Midwestern,Indiana,Male,150-159
2005,Midwestern,Indiana,Female,<10
2005,Midwestern,Indiana,All,154
2005,Midwestern,Iowa,Male,60-69
2005,Midwestern,Iowa,Female,<10
2005,Midwestern,Iowa,All,64
2005,Midwestern,Kansas,Male,60-69
2005,Midwestern,Kansas,Female,<10
2005,Midwestern,Kansas,All,70
2005,Midwestern,Michigan,Male,180-189
2005,Midwestern,Michigan,Female,<10
2005,Midwestern,Michigan,All,196
2005,Midwestern,Minnesota,Male,90-99
2005,Midwestern,Minnesota,Female,<10
2005,Midwestern,Minnesota,All,94
2005,Midwestern,Missouri,Male,150-159
2005,Midwestern,Missouri,Female,<10
2005,Midwestern,Missouri,All,162
2005,Midwestern,Nebraska,Male,30-39
2005,Midwestern,Nebraska,Female,<10
2005,Midwestern,Nebraska,All,35
2005,Midwestern,North Dakota,Male,10-19
2005,Midwestern,North Dakota,Female,<10
2005,Midwestern,North Dakota,All,19
2005,Midwestern,Ohio,Male,280-289
2005,Midwestern,Ohio,Female,<10
2005,Midwestern,Ohio,All,297
2005,Midwestern,South Dakota,Male,30-39
2005,Midwestern,South Dakota,Female,<10
2005,Midwestern,South Dakota,All,32
2005,Midwestern,Wisconsin,Male,120-129
2005,Midwestern,Wisconsin,Female,<10
2005,Midwestern,Wisconsin,All,125
2005,Southern,Alabama,Male,110-119
2005,Southern,Alabama,Female,<10
2005,Southern,Alabama,All,119
2005,Southern,Arkansas,Male,70-79
2005,Southern,Arkansas,Female,<10
2005,Southern,Arkansas,All,76
2005,Southern,Delaware,Male,10-19
2005,Southern,Delaware,Female,<10
2005,Southern,Delaware,All,18
2005,Southern,District of Columbia,Male,<10
2005,Southern,District of Columbia,Female,<10
2005,Southern,District of Columbia,All,<10
2005,Southern,Florida,Male,470
2005,Southern,Florida,Female,22
2005,Southern,Florida,All,492
2005,Southern,Georgia,Male,180-189
2005,Southern,Georgia,Female,<10
2005,Southern,Georgia,All,185
2005,Southern,Kentucky,Male,110-119
2005,Southern,Kentucky,Female,<10
2005,Southern,Kentucky,All,116
2005,Southern,Louisiana,Male,60-69
2005,Southern,Louisiana,Female,<10
2005,Southern,Louisiana,All,67
2005,Southern,Maryland,Male,90-99
2005,Southern,Maryland,Female,<10
2005,Southern,Maryland,All,95
2005,Southern,Mississippi,Male,60-69
2005,Southern,Mississippi,Female,<10
2005,Southern,Mississippi,All,62
2005,Southern,North Carolina,Male,190-199
2005,Southern,North Carolina,Female,<10
2005,Southern,North Carolina,All,203
2005,Southern,Oklahoma,Male,90-99
2005,Southern,Oklahoma,Female,<10
2005,Southern,Oklahoma,All,104
2005,Southern,South Carolina,Male,70-79
2005,Southern,South Carolina,Female,<10
2005,Southern,South Carolina,All,80
2005,Southern,Tennessee,Male,160-169
2005,Southern,Tennessee,Female,<10
2005,Southern,Tennessee,All,165
2005,Southern,Texas,Male,407
2005,Southern,Texas,Female,14
2005,Southern,Texas,All,421
2005,Southern,Virginia,Male,180-189
2005,Southern,Virginia,Female,<10
2005,Southern,Virginia,All,192
2005,Southern,West Virginia,Male,50-59
2005,Southern,West Virginia,Female,<10
2005,Southern,West Virginia,All,58
2005,Western,Alaska,Male,10-19
2005,Western,Alaska,Female,<10
2005,Western,Alaska,All,22
2005,Western,Arizona,Male,170-179
2005,Western,Arizona,Female,<10
2005,Western,Arizona,All,186
2005,Western,California,Male,448
2005,Western,California,Female,23
2005,Western,California,All,471
