Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2008,35-54,2160,7109000,30.3840202560135,2046,6244000,32.7674567584882,35-54,114,865000,13.1791907514451,
2008,55-74,2345,9269000,25.2993850469306,2302,8946000,25.7321708025933,55+,51,497000,10.261569416499,
2008,75+,1468,4939000,29.7226159141527,1458,4765000,30.598111227702,.,.,.,.,
2008,All,6579,23483000,28.0160115828472,6369,21709000,29.3380625547008,All,208,1774000,11.7249154453213,
2009,18-34,607,2148000,28.2588454376164,546,1734000,31.4878892733564,18-34,61,414000,14.7342995169082,
2009,35-54,2101,6922000,30.3524992776654,1974,6054000,32.6065411298315,35-54,126,868000,14.5161290322581,
2009,55-74,2302,9159000,25.1337482257888,2269,8818000,25.7314583805852,55+,39,516000,7.55813953488372,
2009,75+,1525,4894000,31.1606048222313,1519,4719000,32.189023098114,.,.,.,.,
2009,All,6537,23123000,28.2705531289193,6310,21325000,29.5896834701055,All,226,1798000,12.5695216907675,
2010,18-34,623,2150000,28.9767441860465,575,1732000,33.1986143187067,18-34,48,418000,11.4832535885167,
2010,35-54,2055,6726000,30.5530776092774,1921,5865000,32.7536231884058,35-54,132,861000,15.3310104529617,
2010,55-74,2391,9214000,25.9496418493597,2338,8844000,26.4360018091361,55+,55,526000,10.4562737642586,
2010,75+,1489,4816000,30.9177740863787,1486,4660000,31.8884120171674,.,.,.,.,
2010,All,6561,22906000,28.6431502663058,6323,21101000,29.9654044831999,All,235,1805000,13.0193905817175,
2011,18-34,675,2148000,31.4245810055866,617,1731000,35.6441363373772,18-34,58,417000,13.9088729016787,
2011,35-54,2005,6510000,30.7987711213518,1862,5656000,32.9207920792079,35-54,143,854000,16.7447306791569,
2011,55-74,2326,9196000,25.2936059156155,2276,8807000,25.843079368684,55+,57,546000,10.4395604395604,
2011,75+,1452,4767000,30.4594084329767,1444,4610000,31.3232104121475,.,.,.,.,
2011,All,6470,22621000,28.6017417443968,6211,20804000,29.8548356085368,All,258,1817000,14.1992294991745,
2012,18-34,727,2158000,33.6886005560704,675,1742000,38.7485648679679,18-34,52,416000,12.5,
2012,35-54,1927,6306000,30.558198541072,1796,5452000,32.9420396184886,35-54,131,854000,15.3395784543326,
2012,55-74,2353,9120000,25.8004385964912,2299,8682000,26.4800737157337,55+,58,587000,9.88074957410562,
2012,75+,1441,4748000,30.3496208930076,1437,4599000,31.245923026745,.,.,.,.,
2012,All,6453,22332000,28.895754970446,6212,20475000,30.3394383394383,All,241,1857000,12.9779213785676,
2013,18-34,811,2173000,37.3216751035435,747,1757000,42.5156516789983,18-34,63,416000,15.1442307692308,
2013,35-54,1818,6122000,29.6961777196995,1695,5270000,32.1631878557875,35-54,121,852000,14.2018779342723,
2013,55-74,2425,9076000,26.7188188629352,2363,8606000,27.4575877294911,55+,69,620000,11.1290322580645,
2013,75+,1462,4783000,30.5665900062722,1455,4633000,31.4051370602202,.,.,.,.,
2013,All,6523,22154000,29.4438927507448,6267,20266000,30.9237145958749,All,253,1888000,13.4004237288136,
2014,18-34,792,2165000,36.5819861431871,733,1752000,41.837899543379,18-34,59,413000,14.2857142857143,
2014,35-54,1874,5939000,31.5541336925408,1712,5089000,33.6411868736491,35-54,162,850000,19.0588235294118,
2014,55-74,2494,9036000,27.6007082779991,2427,8536000,28.4325210871603,55+,74,647000,11.4374034003091,
2014,75+,1501,4719000,31.8075863530409,1494,4572000,32.6771653543307,.,.,.,.,
2014,All,6667,21859000,30.5000228738735,6372,19949000,31.9414506992832,All,295,1910000,15.4450261780105,
2015,18-34,844,2139000,39.4576905095839,781,1735000,45.014409221902,18-34,63,404000,15.5940594059406,
2015,35-54,1866,5775000,32.3116883116883,1715,4933000,34.765862558281,35-54,151,842000,17.9334916864608,
2015,55-74,2497,8937000,27.9400246167618,2411,8402000,28.695548678886,55+,93,682000,13.6363636363636,
2015,75+,1417,4597000,30.8244507287361,1410,4450000,31.685393258427,.,.,.,.,
2015,All,6631,21448000,30.9166355837374,6324,19520000,32.3975409836066,All,307,1928000,15.9232365145228,
2016,18-34,891,2103000,42.3680456490728,834,1710000,48.7719298245614,18-34,57,393000,14.5038167938931,
2016,35-54,1701,5607000,30.3370786516854,1568,4771000,32.8652274156361,35-54,133,836000,15.9090909090909,
2016,55-74,2451,8825000,27.7733711048159,2367,8255000,28.6735311932162,55+,87,700000,12.4285714285714,
2016,75+,1439,4537000,31.7169936081111,1434,4407000,32.5391422736556,.,.,.,.,
2016,All,6491,21072000,30.8039104024298,6212,19143000,32.4505041007157,All,277,1929000,14.3597719025402,
2017,18-34,877,2064000,42.4903100775194,801,1678000,47.7353992848629,18-34,76,386000,19.6891191709845,
2017,35-54,1793,5453000,32.8809829451678,1654,4621000,35.7931183726466,35-54,139,832000,16.7067307692308,
2017,55-74,2530,8673000,29.1709904300703,2445,8068000,30.3049082796232,55+,90,742000,12.1293800539084,
2017,75+,1493,4500000,33.1777777777778,1485,4363000,34.0362136144855,.,.,.,.,
2017,All,6718,20690000,32.4697921701305,6410,18730000,34.2231713828083,All,305,1960000,15.5612244897959,
2018,18-34,890,2021000,44.0376051459673,811,1645000,49.3009118541034,18-34,79,376000,21.0106382978723,
2018,35-54,1737,5298000,32.7859569648924,1608,4472000,35.9570661896243,35-54,129,826000,15.6174334140436,
2018,55-74,2660,8566000,31.0530002334812,2581,7909000,32.6337084334303,55+,84,794000,10.5793450881612,
2018,75+,1431,4526000,31.6173221387539,1426,4389000,32.490316700843,.,.,.,.,
2018,All,6738,20411000,33.0116113860173,6445,18415000,34.9986424110779,All,293,1996000,14.6793587174349,
2019,18-34,827,1960000,42.1938775510204,768,1593000,48.210922787194,18-34,58,367000,15.8038147138965,
2019,35-54,1669,5159000,32.3512308586935,1530,4330000,35.3348729792148,35-54,138,829000,16.6465621230398,
2019,55-74,2451,8375000,29.265671641791,2357,7687000,30.6621568882529,55+,100,823000,12.1506682867558,
2019,75+,1531,4534000,33.7670930745479,1525,4399000,34.6669697658559,.,.,.,.,
2019,All,6510,20028000,32.5044937088077,6212,18009000,34.4938641790216,All,296,2019000,14.6607231302625,
2020,18-34,858,1912000,44.8744769874477,789,1556000,50.706940874036,18-34,69,356000,19.3820224719101,
2020,35-54,1582,5035000,31.4200595829196,1462,4211000,34.7185941581572,35-54,120,824000,14.5631067961165,
2020,55-74,2246,8049000,27.9040874642813,2160,7347000,29.3997550020417,55+,94,838000,11.2171837708831,
2020,75+,1597,4525000,35.292817679558,1589,4389000,36.2041467304625,.,.,.,.,
2020,All,6347,19521000,32.5137031914349,6063,17503000,34.6397760383934,All,284,2018000,14.0733399405352,
2021,18-34,903,1865000,48.4182305630027,816,1515000,53.8613861386139,18-34,86,350000,24.5714285714286,
2021,35-54,1707,4912000,34.7516286644951,1555,4091000,38.0102664385236,35-54,150,821000,18.2704019488429,
2021,55-74,2298,7720000,29.7668393782383,2193,7002000,31.3196229648672,55+,113,846000,13.3569739952719,
2021,75+,1474,4502000,32.741003998223,1464,4374000,33.4705075445816,.,.,.,.,
2021,All,6429,18999000,33.8386230854256,6071,16982000,35.7496172417854,All,353,2017000,17.5012394645513,
2022,18-34,856,1813000,47.2145615002758,797,1473000,54.1072640868975,18-34,59,340000,17.3529411764706,
2022,35-54,1678,4800000,34.9583333333333,1550,3983000,38.9153904092393,35-54,128,817000,15.6670746634027,
2022,55-74,2272,7309000,31.0849637433301,2188,6573000,33.2876920736346,55+,91,869000,10.4718066743383,
2022,75+,1604,4651000,34.4872070522468,1597,4518000,35.3474988933156,.,.,.,.,
2022,All,6442,18573000,34.6847574436009,6164,16547000,37.2514655224512,All,278,2026000,13.7216189536032,
2023,18-34,834,1741000,47.9035037334865,772,1410000,54.7517730496454,18-34,60,331000,18.1268882175227,
2023,35-54,1750,4695000,37.2736954206603,1619,3877000,41.7590920815063,35-54,123,818000,15.0366748166259,
2023,55-74,2176,6979000,31.1792520418398,2085,6218000,33.5316822129302,55+,101,902000,11.1973392461197,
2023,75+,1597,4763000,33.5292882636994,1576,4622000,34.0977931631328,.,.,.,.,
2023,All,6398,18178000,35.1963912421609,6091,16127000,37.76895888882,All,286,2051000,13.9444173573866,
