Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2005,Southern,Alabama,119,431000,27.6
2005,Southern,Arkansas,76,273000,27.8
2005,Southern,Delaware,18,81000,22.2*
2005,Southern,District of Columbia,<10,38000,--
2005,Southern,Florida,492,1837000,26.8
2005,Southern,Georgia,185,760000,24.3
2005,Southern,Kentucky,116,364000,31.9
2005,Southern,Louisiana,67,369000,18.2
2005,Southern,Maryland,95,498000,19.1
2005,Southern,Mississippi,62,238000,26.1
2005,Southern,North Carolina,203,788000,25.8
2005,Southern,Oklahoma,104,361000,28.8
2005,Southern,South Carolina,80,424000,18.9
2005,Southern,Tennessee,165,540000,30.6
2005,Southern,Texas,421,1727000,24.4
2005,Southern,Virginia,192,803000,23.9
2005,Southern,West Virginia,58,183000,31.7
2005,Western,Alaska,22,75000,29.3
2005,Western,Arizona,186,545000,34.1
2005,Western,California,471,2316000,20.3
2005,Western,Colorado,164,428000,38.3
2005,Western,Hawaii,15,124000,12.1*
2005,Western,Idaho,52,131000,39.7
2005,Western,Montana,52,103000,50.5
2005,Western,Nevada,110,236000,46.6
2005,Western,New Mexico,65,186000,34.9
2005,Western,Oregon,119,378000,31.5
2005,Western,Utah,38,154000,24.7
2005,Western,Washington,175,644000,27.2
2005,Western,Wyoming,23,51000,45.1
2005,All,U.S. Total,6149,24692000,24.9
2006,Northeastern,Connecticut,44,272000,16.2
2006,Northeastern,Maine,41,142000,28.9
2006,Northeastern,Massachusetts,55,464000,11.9
2006,Northeastern,New Hampshire,33,132000,25
2006,Northeastern,New Jersey,67,546000,12.3
2006,Northeastern,New York,180,1138000,15.8
2006,Northeastern,Pennsylvania,263,1089000,24.2
2006,Northeastern,Rhode Island,22,88000,25
2006,Northeastern,Vermont,16,52000,30.8*
2006,Midwestern,Illinois,158,856000,18.5
2006,Midwestern,Indiana,149,524000,28.4
2006,Midwestern,Iowa,63,265000,23.8
2006,Midwestern,Kansas,76,246000,30.9
2006,Midwestern,Michigan,239,815000,29.3
2006,Midwestern,Minnesota,98,428000,22.9
2006,Midwestern,Missouri,165,552000,29.9
2006,Midwestern,Nebraska,39,158000,24.7
