Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2017,38672,230799792,16.7556476827327,16.8913317742479,29090,103773357,28.0322433820851,28.8455332559583,9585,127026435,7.54567346552708,7.70643406789886
2018,39772,233041698,17.066473657431,17.157517194287,30007,105064524,28.5605443755687,29.3141253480024,9765,127977174,7.63026694119688,7.76917338499563
2019,39351,235213278,16.7299228745071,16.8588697407074,29898,106354710,28.1115899803591,28.7422572098781,9455,128858568,7.33750199676284,7.51486736392118
2020,37951,237748724,15.9626513915591,16.1586246402622,29312,108724770,26.9598178961427,27.8924059895888,8639,129023954,6.69565590897951,6.84311405895578
2021,39983,239419544,16.6999733321687,16.9152152821206,31079,109765045,28.3141140241869,29.2430470010056,8909,129654499,6.87133888041942,7.02040094814686
2022,41449,241473087,17.1650598892621,17.3363275780457,32009,110953698,28.8489708562936,29.7325421483205,9440,130519389,7.23264188740571,7.37994464893951
2023,41313,243905034,16.9381497882491,17.1071170662886,31868,112363404,28.3615473237176,29.0412425205312,9466,131541630,7.19620092893786,7.32118625927628
"Non-Veteran Deaths by Suicide: Unadjusted Suicide Rates by Sex and Age Group, 2001-23",,,,,,,,,,,,
"Year
of
Death","Age
Group","Suicide
Deaths","Population
Estimate","Unadjusted
Rate per
100,000","Male Suicide
Deaths","Male
Population
Estimate","Male
Unadjusted
Rate per
100,000","Female
Age
Group","Female
Suicide
Deaths","Female
Population
Estimate","Female
Unadjusted
Rate per
100,000",
2001,18-34,7675,64776174,11.8484923175611,6426,31956909,20.108327748469,18-34,1249,32819265,3.80569156560941,
2001,35-54,10060,75451020,13.3331530839477,7277,33529510,21.7032697465606,35-54,2785,41921510,6.6433675695365,
2001,55-74,4048,33716474,12.006000390195,2915,10879782,26.7928162531198,55+,1541,33254855,4.6339098456451,
2001,75+,1780,12451112,14.2959118832117,1375,2032949,67.6357350823853,.,.,.,.,
2001,All,23559,186394780,12.6393024525687,17989,78399150,22.945401831525,All,5575,107995630,5.16224591680238,
2002,18-34,7755,65253354,11.8844465833894,6438,32251265,19.9620076917913,18-34,1317,33002089,3.99065647026163,
2002,35-54,10719,76108843,14.0837773607989,7751,34090785,22.7363494269786,35-54,2968,42018058,7.0636296422838,
2002,55-74,4249,35287867,12.0409658084463,3070,11701551,26.2358383089558,55+,1614,34111866,4.73149138191385,
2002,75+,1795,12534672,14.3202789829682,1362,2009122,67.7908061332264,.,.,.,.,
2002,All,24508,189184736,12.9545334989394,18611,80052723,23.2484284138592,All,5899,109132013,5.40537999606037,
2003,18-34,7718,65678541,11.7511745579123,6390,32466808,19.6816391682237,18-34,1328,33211733,3.99858688494214,
2003,35-54,10758,76859160,13.9970304125104,7792,34672538,22.4731169088343,35-54,2966,42186622,7.03066483967358,
2003,55-74,4353,36622860,11.8860187325621,3129,12356239,25.323239539151,55+,1631,34892753,4.67432306072267,
2003,75+,1717,12698614,13.5211606558007,1311,2072482,63.2574854691139,.,.,.,.,
2003,All,24537,191859175,12.7890678149742,18613,81568067,22.8189789026139,All,5925,110291108,5.37214659227107,
2004,18-34,8058,66171735,12.1774047484171,6630,32769534,20.2322071470409,18-34,1428,33402201,4.27516737594628,
2004,35-54,11304,77614205,14.564344246005,8014,35226342,22.7500204250558,35-54,3290,42387863,7.76165573621864,
2004,55-74,4386,38097837,11.512464605274,3100,13116727,23.6339446570779,55+,1703,35655436,4.77627029999016,
2004,75+,1634,12736786,12.8289821309709,1220,2062460,59.1526623546639,.,.,.,.,
2004,All,25378,194620563,13.039732086275,18960,83175063,22.7952938250254,All,6421,111445500,5.76156058342419,
2005,18-34,7877,66387193,11.8652403333275,6461,32912462,19.6308620120853,18-34,1416,33474731,4.23005639686843,
2005,35-54,11398,78369442,14.5439341012534,8306,35725570,23.2494541024818,35-54,3092,42643872,7.25074871249965,
2005,55-74,4547,39695194,11.4547871966566,3207,13977215,22.9444850064909,55+,1785,36477269,4.89345844394217,
2005,75+,1644,12849101,12.7946694480805,1201,2089811,57.4693118181501,.,.,.,.,
2005,All,25461,197300930,12.9046528062488,19170,84705058,22.6314702482112,All,6293,112595872,5.58901484416765,
2006,18-34,7922,66756018,11.8670948887335,6534,33135724,19.7188991554855,18-34,1388,33620294,4.12845884096076,
2006,35-54,11937,79052960,15.1000038455233,8677,36167774,23.990970525308,35-54,3263,42885186,7.60868799776221,
2006,55-74,4904,41515140,11.8125580210015,3387,14980448,22.6094706913972,55+,1929,37386916,5.15955902861846,
2006,75+,1541,13046080,11.811977237607,1130,2193856,51.5074827153651,.,.,.,.,
2006,All,26302,200370198,13.1267026047456,19726,86477802,22.8104779998918,All,6580,113892396,5.77738306603015,
2007,18-34,8202,67316488,12.1842363493473,6717,33419899,20.0988040089529,18-34,1485,33896589,4.38097178450611,
2007,35-54,12390,79451169,15.5944842045055,8981,36475205,24.6222056873978,35-54,3410,42975964,7.93466785294217,
2007,55-74,5385,43416161,12.4032154754539,3731,16011688,23.301728087632,55+,2060,38350273,5.37153933689077,
2007,75+,1521,13217984,11.5070497891358,1116,2272184,49.1157406266394,.,.,.,.,
2007,All,27494,203401802,13.517087719803,20542,88178976,23.2958023917175,All,6955,115222826,6.03613037576426,
2008,18-34,8231,68235747,12.0625923535358,6705,33900216,19.7786350387856,18-34,1526,34335531,4.44437571097998,
2008,35-54,12830,79543933,16.1294513812889,9325,36615664,25.4672426533082,35-54,3505,42928269,8.16478297785546,
2008,55-74,5916,45393742,13.0326334409708,4256,17030735,24.9901134625135,55+,2080,39378476,5.282073384455,
2008,75+,1491,13332942,11.1828282160081,1073,2317473,46.3004315476383,.,.,.,.,
2008,All,28466,206506364,13.7845630752571,21357,89864088,23.7658896621752,All,7111,116642276,6.09641739158108,
2009,18-34,8291,69105688,11.9975652365982,6748,34332278,19.6549730839299,18-34,1543,34773410,4.43729849905431,
2009,35-54,13174,79432899,16.5850676053004,9637,36661435,26.2864778751841,35-54,3538,42771464,8.27187023572539,
2009,55-74,6423,47479699,13.5278869396371,4582,18116001,25.2925576676663,55+,2224,40411292,5.50341226407708,
2009,75+,1416,13496076,10.4919385456928,1033,2448482,42.1894055173777,.,.,.,.,
2009,All,29302,209514362,13.9856760750368,21998,91558196,24.0262488352217,All,7305,117956166,6.1929785001659,
2010,18-34,8977,69826259,12.8561949738708,7281,34693439,20.9866770486489,18-34,1696,35132820,4.82739501127436,
2010,35-54,13315,79241113,16.8031461143157,9845,36660550,26.8544798154965,35-54,3472,42580563,8.15395512736645,
2010,55-74,6967,49425320,14.0960139458885,4949,19068948,25.9531883982273,55+,2419,41518736,5.82628527034156,
2010,75+,1531,13805818,11.0895276179941,1131,2643454,42.7849321380285,.,.,.,.,
2010,All,30787,212298510,14.5017503891101,23203,93066391,24.931664106326,All,7587,119232119,6.36321828684434,
2011,18-34,9405,70739479,13.2952633139976,7575,35183069,21.5302422878459,18-34,1830,35556410,5.14675131713241,
2011,35-54,13452,78849670,17.0603123640213,9819,36572947,26.8477134205237,35-54,3633,42276723,8.59338127981206,
2011,55-74,7374,51359208,14.3576980392688,5296,20026388,26.4451083240772,55+,2492,42589815,5.85116418091978,
2011,75+,1690,14097316,11.9880975924779,1277,2840321,44.9597070190306,.,.,.,.,
2011,All,31909,215045673,14.8382432228711,23955,94622725,25.3163286092215,All,7955,120422948,6.60588378886058,
2012,18-34,9502,71530937,13.283762800423,7612,35631587,21.3630675501487,18-34,1890,35899350,5.26471927764709,
2012,35-54,13693,78461675,17.4518323754878,9967,36493953,27.3113740240746,35-54,3726,41967722,8.87825171926177,
2012,55-74,7943,53449128,14.8608598441494,5733,21117970,27.1474957109987,55+,2634,43710746,6.02597814276609,
2012,75+,1840,14390948,12.7858150832037,1416,3011360,47.0219435736677,.,.,.,.,
2012,All,32973,217832688,15.1368466793193,24723,96254870,25.6849341752786,All,8250,121577818,6.78577732000421,
2013,18-34,9561,72187755,13.244628538455,7592,35996166,21.0911350947765,18-34,1970,36191589,5.4432536797431,
2013,35-54,13354,78073433,17.1044098957452,9701,36402494,26.6492729866256,35-54,3655,41670939,8.77110064642412,
2013,55-74,8504,55398175,15.3506861913772,6082,22105647,27.5133317744556,55+,2846,44796763,6.35313761398341,
2013,75+,1959,14654850,13.3675882045876,1535,3150615,48.720646603917,.,.,.,.,
2013,All,33371,220314213,15.147002794595,24903,97654922,25.5010187812141,All,8471,122659291,6.90612177107725,
2014,18-34,9956,72748784,13.6854521169728,7929,36314906,21.834009428525,18-34,2027,36433878,5.56350328669378,
2014,35-54,13615,77793763,17.5014030366419,9759,36368230,26.8338602126086,35-54,3856,41425533,9.3082688881758,
2014,55-74,9160,57304998,15.9846441317387,6548,23061340,28.3938400804116,55+,3082,45918397,6.71190677671087,
2014,75+,2086,15086567,13.8268699565647,1616,3411828,47.3646385456711,.,.,.,.,
2014,All,34811,222934112,15.6149275172388,25846,99156304,26.0659170999355,All,8965,123777808,7.2428169030106,
2015,18-34,10608,73090427,14.5135285637338,8372,36522277,22.9229957376425,18-34,2236,36568150,6.11461066529207,
2015,35-54,13821,77678731,17.7925151738125,9919,36409363,27.242992413792,35-54,3902,41269368,9.45495458035607,
2015,55-74,9443,59297464,15.9247957045853,6657,24102105,27.6199941872297,55+,3319,47035338,7.05639661821927,
2015,75+,2294,15570652,14.7328448416932,1761,3730673,47.2032794082998,.,.,.,.,
2015,All,36159,225637274,16.0252778093747,26702,100764418,26.4994335599696,All,9457,124872856,7.57330320049699,
2016,18-34,11106,73501924,15.1098085541271,8859,36769615,24.0932628747949,18-34,2247,36732309,6.1172304741311,
2016,35-54,13766,77560188,17.7487965862074,9924,36448179,27.2276977129639,35-54,3842,41112009,9.34520130115753,
2016,55-74,9711,61159998,15.8780253720741,6841,25078392,27.2784634676737,55+,3377,48157705,7.01237735477636,
2016,75+,2362,16078352,14.6905603260832,1857,4002253,46.3988658388163,.,.,.,.,
2016,All,36936,228300462,16.1786794807275,27472,102298439,26.8547597290317,All,9466,126002023,7.51257779408828,
2017,18-34,12067,73799497,16.3510599537013,9647,36952654,26.1063792603368,18-34,2420,36846843,6.5677268470463,
2017,35-54,14103,77541954,18.1875736585127,10273,36530402,28.1217819612278,35-54,3830,41011552,9.33883214173412,
2017,55-74,10072,62806936,16.0364454015079,7233,25972230,27.8489756174191,55+,3335,49168040,6.7828613871938,
2017,75+,2455,16651405,14.743500623521,1962,4318071,45.4369555294482,.,.,.,.,
2017,All,38672,230799792,16.7556476827327,29090,103773357,28.0322433820851,All,9585,127026435,7.54567346552708,
2018,18-34,12112,74054062,16.3556186830103,9613,37108198,25.9053269037747,18-34,2499,36945864,6.76395062787001,
2018,35-54,14129,77505754,18.2296142812829,10373,36603694,28.3386698621183,35-54,3756,40902060,9.18291156973512,
2018,55-74,10854,64098283,16.9333708985621,7853,26689834,29.4231878699583,55+,3511,50129250,7.00389493160181,
2018,75+,2697,17383599,15.5146238704655,2187,4662798,46.9031684409232,.,.,.,.,
2018,All,39772,233041698,17.066473657431,30007,105064524,28.5605443755687,All,9766,127977174,7.63104833054057,
2019,18-34,12086,74278551,16.2711843961523,9761,37255044,26.2004790545946,18-34,2326,37023507,6.28249506455453,
2019,35-54,13868,77375767,17.9229241113694,10141,36633694,27.6821660409131,35-54,3728,40742073,9.15024623317523,
2019,55-74,10654,65527569,16.2588055113108,7815,27494315,28.4240578461402,55+,3401,51092988,6.65649071062354,
