Year,Quarter,Dwelling Unit,City,Zip,Paint Inspection/Risk Assessment Date,Clear/Close Date,Property Status,Year Built,Finished Square Feet,Number of Rooms,Number of Rooms Treated,Windows,Location of Work,Type of Work,Relocation Cost,HUD Lead Hazard Reduction Cost,Match LHR Cost,Total LHR cost,Other Rehab Cost,Local government cost,Income,Occupants Younger Than 6,Occupants 6 and Older,BLL <10,BLL 10-20,BLL > 20,BLL Unknown,BLL Greater Than 5,New Georeferenced Column,Date Updated
2017,Fourth Quarter,2,St. Paul,55106.0,October 11 2017,December 14 2017,Occupied Rental,1908,1078,9,8,11.0,Only Interior,Stabilization and Window replacement,0.0,3203,3203,,0.0,,<30,3.0,7.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,Third Quarter,,St. Paul,55104.0,May 30 2018,August 03 2018,Owner Occupied,1950,892,7,5,13.0,Interior and exterior trim,Paint Stabilization and Window replacement,407.0,3065,3066,,0.0,,50-80,2.0,2.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2015,First Quarter,Unit #2,St. Paul,55104.0,December 10 2014,March 12 2015,Occupied Rental,1890,765,8,6,9.0,Interior Only,Window replacement and Paint stabilization,0.0,1475,1475,,0.0,,30-50,2.0,3.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2016,Second Quarter,Unit #2,St. Paul,55104.0,March 22 2016,April 19 2016,Occupied Rental,1911,1808,9,7,14.0,Interior and Porch,Window replacement and Paint stabilization,269.0,2451,2451,,0.0,,30-50,2.0,1.0,1.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2020,First Quarter,,Saint Paul,55106.0,November 14 2019,February 20 2020,Occupied Rental,1921,1075,14,4,11.0,Interior and exterior porch,Paint Stabilization and Window replacement,467.0,2693,4039,,0.0,,30-50,1.0,4.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2008,Fourth Quarter,Single Family,St. Paul,55104.0,September 03 2008,December 03 2008,Owner Occupied,1884,2264,18,11,,Only Interior,Paint Stabilization and Window replacement,106.0,4200,6146,,0.0,,,4.0,1.0,,1.0,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2017,First Quarter,,St. Paul,55107.0,October 20 2016,March 14 2017,Owner Occupied,1889,1134,15,11,12.0,Only Interior,Paint Stabilization and Window replacement,135.0,2641,6000,,0.0,,<30,2.0,6.0,,,,,2.0,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2016,First Quarter,Single Family,St. Paul,55106.0,December 02 2015,January 29 2016,Owner Occupied,1897,1460,12,10,31.0,Interior Only,Window replacement and Paint stabilization,404.0,4200,6335,,0.0,,30-50,4.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Third Quarter,,St. Paul,55106.0,July 12 2016,August 25 2016,Owner Occupied,1917,1138,14,8,13.0,Only Interior,Stabilization and Window replacement,270.0,2740,2740,,0.0,,30-50,1.0,4.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Third Quarter,Single Family,St. Paul,55106.0,July 07 2010,August 05 2010,Owner Occupied,1919,1300,9,7,,Only Interior,Paint Stabilization and Window replacement,0.0,4200,4392,,0.0,,,2.0,4.0,,,,4.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2023,Fourth Quarter,,Saint Paul,55106.0,August 25 2023,December 12 2023,Owner Occupied,1918,1201,14,9,15.0,Only Interior,Paint Stabilization and Window replacement,324.51,0,1042,7709.0,,,30-50,0.0,4.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,Second Quarter,,St. Paul,55119.0,February 13 2018,April 17 2018,Owner Occupied,1951,1753,12,7,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,2490,3290,,0.0,,30-50,1.0,7.0,,,,,0.0,"St. Paul 55119
(44.94448, -93.0213)","May 22, 2025"
2015,Third Quarter,Single Family,St. Paul,55106.0,January 19 2015,September 14 2015,Owner Occupied,1928,979,14,9,15.0,Interior and Porch,Window replacement and Paint stabilization,0.0,2574,2575,,0.0,,50-80,2.0,3.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,First Quarter,Unit #1,St. Paul,55130.0,December 02 2014,February 26 2015,Occupied Rental,1889,1027,8,5,8.0,Interior Only,Window replacement and Paint stabilization,269.0,1345,1345,,0.0,,30-50,4.0,2.0,3.0,1.0,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2012,Third Quarter,Single Family,St. Paul,55104.0,April 28 2011,August 16 2012,Occupied Rental,1896,928,10,8,14.0,Only Interior,Paint Stabilization and Window replacement,113.0,2120,2120,,0.0,,30-50,3.0,3.0,,,,3.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2013,First Quarter,Unit #1,St. Paul,55102.0,November 06 2012,January 23 2013,Occupied Rental,1890,1044,10,6,10.0,Interior Only,Window replacement and Paint stabilization,0.0,1687,1688,,0.0,,50-80,2.0,1.0,1.0,,,,,"St. Paul 55102
(44.94339, -93.09648)","May 22, 2025"
2017,First Quarter,,St. Paul,55106.0,August 18 2016,February 14 2017,Owner Occupied,1923,1954,18,11,20.0,Only Interior,Paint Stabilization and Window replacement,673.0,4200,5541,,0.0,,30-50,2.0,6.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Fourth Quarter,,St. Paul,55117.0,September 19 2016,December 06 2016,Occupied Rental,1885,770,8,8,20.0,Interior and Exterior,Paint Stabilization and Window replacement,0.0,3435,3435,,0.0,,30-50,1.0,6.0,,,,,0.0,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2020,Third Quarter,,Saint Paul,55119.0,July 21 2020,September 29 2020,Owner Occupied,1952,1080,15,8,12.0,Only Interior,Paint Stabilization and Window replacement,381.0,2499,3749,,0.0,,50-80,2.0,7.0,,,,,0.0,"Saint Paul 55119
(44.94448, -93.0213)","May 22, 2025"
2017,Fourth Quarter,,St. Paul,55104.0,June 29 2017,October 03 2017,Occupied Rental,1894,1176,11,8,11.0,Only Interior,Stabilization and Window replacement,270.0,2352,2352,,0.0,,30-50,3.0,2.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2018,First Quarter,1,St. Paul,55130.0,December 14 2017,February 14 2018,Occupied Rental,1888,844,10,7,13.0,Only Interior,Paint Stabilization and Window replacement,270.0,2626,2992,,0.0,,<30,2.0,3.0,,,,,0.0,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2010,Fourth Quarter,Single Family,St. Paul,55104.0,October 01 2010,December 14 2010,Owner Occupied,1924,1531,10,5,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,2605,2605,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2012,Second Quarter,Single Family,St. Paul,55117.0,March 22 2012,April 19 2012,Owner Occupied,1947,640,7,4,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,1583,1584,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2018,First Quarter,,St. Paul,55104.0,January 05 2018,March 01 2018,Owner Occupied,1922,1440,14,10,25.0,Only Interior,Paint Stabilization and Window replacement,406.0,4200,6126,,0.0,,50-80,3.0,2.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2023,First Quarter,,Saint Paul,55116.0,September 28 2022,March 21 2023,Occupied Rental,1947,1061,14,6,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,4382,8908.0,,,50-80,1.0,2.0,,,,,,"Saint Paul 55116
(44.91797, -93.18965)","May 22, 2025"
2013,Second Quarter,Unit #2,St. Paul,55106.0,February 13 2013,April 11 2013,Occupied Rental,1906,994,8,5,11.0,Interior Only,Window replacement and Paint stabilization,0.0,1648,1649,,0.0,,30-50,2.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,First Quarter,Unit #2,St. Paul,55106.0,December 07 2015,March 03 2016,Occupied Rental,1893,1220,13,9,13.0,Interior Only,Window replacement and Paint stabilization,272.0,2731,2731,,0.0,,<30,6.0,3.0,1.0,,,2.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2020,Second Quarter,,Saint Paul,55130.0,January 06 2020,June 25 2020,Owner Occupied,1894,2000,14,10,17.0,Only Interior,Paint Stabilization and Window replacement,309.0,3288,4931,,0.0,,<30,1.0,3.0,,,,,0.0,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2010,Third Quarter,Single Family,St. Paul,55104.0,June 18 2010,September 29 2010,Occupied Rental,1900,1080,11,7,,Only Interior,Paint Stabilization and Window replacement,0.0,1979,1979,,0.0,,,2.0,2.0,,1.0,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2015,Second Quarter,Single Family,St. Paul,55106.0,April 08 2015,May 21 2015,Owner Occupied,1950,1112,10,5,10.0,Interior Only,Window replacement and Paint stabilization,0.0,1566,1566,,0.0,,50-80,5.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2009,Second Quarter,Unit #1,St. Paul,55102.0,December 18 2008,April 07 2009,Owner Occupied,1903,1150,8,7,,Only Interior,Paint Stabilization and Window replacement,0.0,2999,2999,,0.0,,,1.0,1.0,1.0,,,,,"St. Paul 55102
(44.94339, -93.09648)","May 22, 2025"
2014,Third Quarter,Unit #3,St. Paul,55103.0,August 27 2014,October 07 2014,Occupied Rental,1907,840,7,4,10.0,Interior Only,Window replacement and Paint stabilization,0.0,1545,1545,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2014,Third Quarter,Unit #1,St. Paul,55103.0,August 27 2014,October 06 2014,Occupied Rental,1907,890,7,4,11.0,Interior Only,Window replacement and Paint stabilization,0.0,1672,1673,,0.0,,30-50,2.0,2.0,,,,2.0,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2010,First Quarter,Unit #6,St. Paul,55107.0,November 16 2009,March 03 2010,Occupied Rental,1906,1046,7,4,,Only Interior,Paint Stabilization and Window replacement,0.0,1717,1717,,0.0,,,1.0,1.0,,,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2009,Third Quarter,Unit #1,St. Paul,55104.0,January 15 2009,July 21 2009,Owner Occupied,1892,1462,12,8,,Only Interior,Paint Stabilization and Window replacement,0.0,2553,2553,,0.0,,,2.0,1.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2013,Third Quarter,Single Family,St. Paul,55106.0,May 13 2013,August 07 2013,Owner Occupied,1889,1475,19,13,18.0,Interior and Front Porch,Window replacement and Paint stabilization,0.0,3834,3835,,0.0,,30-50,5.0,1.0,,,,3.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,Third Quarter,Single Family,St. Paul,55106.0,April 22 2015,August 25 2015,Owner Occupied,1878,1257,15,9,17.0,Interior and Porch,Window replacement and Paint stabilization,0.0,2855,2855,,0.0,,30-50,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,Second Quarter,Single Family,St. Paul,55130.0,January 27 2015,June 26 2015,Owner Occupied,1919,1114,12,7,27.0,Interior and Porch,Window replacement and Paint stabilization,0.0,3182,5521,,0.0,,50-80,4.0,1.0,1.0,,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2020,First Quarter,,Saint Paul,55130.0,November 21 2019,March 26 2020,Owner Occupied,1912,1227,15,7,22.0,Only Interior,Paint Stabilization and Window replacement,0.0,4400,6822,,0.0,,<30,1.0,3.0,,,,,0.0,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2010,Third Quarter,Single Family,St. Paul,55103.0,January 22 2010,July 21 2010,Vacant,1906,1260,12,7,,Only Interior,Paint Stabilization and Window replacement,0.0,1811,1811,,0.0,,,0.0,0.0,,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2020,Fourth Quarter,,Saint Paul,55107.0,July 07 2020,November 12 2020,Owner Occupied,1912,1248,12,7,11.0,Only Interior,Paint Stabilization and Window replacement,0.0,2708,4062,,0.0,,50-80,2.0,2.0,,,,,0.0,"Saint Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2015,Second Quarter,Single Family,St. Paul,55130.0,August 19 2014,June 30 2015,Occupied Rental,1908,1280,9,6,9.0,Interior Only,Window replacement and Paint stabilization,0.0,1662,3833,,0.0,,30-50,4.0,2.0,1.0,,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2022,First Quarter,2,Saint Paul,55103.0,September 22 2021,March 30 2022,Owner Occupied,1892,1028,12,9,14.0,Only Interior,Paint Stabilization and Window replacement,288.0,0,1639,14475.0,0.0,7682.0,<30,1.0,6.0,,,,,,"Saint Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2021,First Quarter,,Saint Paul,55106.0,August 31 2020,January 07 2021,Occupied Rental,1950,1111,10,7,11.0,Only Interior,Paint Stabilization and Window replacement,351.0,2429,3644,,351.0,,30-50,1.0,5.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,Fourth Quarter,Single Family,St. Paul,55106.0,August 31 2015,November 10 2015,Owner Occupied,1953,1160,8,6,16.0,Interior Only,Window replacement and Paint stabilization,134.0,2955,2956,,0.0,,30-50,6.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2013,Second Quarter,Unit #1,St. Paul,55117.0,January 15 2013,June 20 2013,Owner Occupied,1900,1026,8,6,10.0,Interior Only,Window replacement and Paint stabilization,0.0,1923,1924,,0.0,,50-80,2.0,1.0,1.0,,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2016,Fourth Quarter,2,St. Paul,55130.0,October 27 2016,December 20 2016,Occupied Rental,1884,1331,10,6,11.0,Only Interior,Paint Stabilization and Window replacement,404.0,2244,2245,,0.0,,<30,1.0,5.0,,,,,0.0,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2018,Second Quarter,,St. Paul,55106.0,March 09 2018,May 09 2018,Occupied Rental,1900,1100,11,8,10.0,Only Interior,Paint Stabilization and Window replacement,0.0,2258,2258,,0.0,,<30,0.0,11.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2023,Second Quarter,#2,Saint Paul,55106.0,January 27 2023,April 11 2023,Vacant Rental,1915,1712,7,4,7.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,1752,3504.0,,,,0.0,0.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Second Quarter,Single Family,St. Paul,55117.0,February 05 2010,June 24 2010,Owner Occupied,1909,1176,12,7,,Only Interior,Paint Stabilization and Window replacement,0.0,2245,2881,,0.0,,,2.0,1.0,1.0,,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2014,Fourth Quarter,Single Family,St. Paul,55117.0,September 04 2014,November 04 2014,Owner Occupied,1946,1230,15,7,21.0,Interior and Porch,Window replacement and Paint stabilization,0.0,3902,3902,,0.0,,50-80,3.0,3.0,2.0,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2014,Fourth Quarter,Unit #2,St. Paul,55103.0,November 06 2014,December 11 2014,Occupied Rental,1887,1004,9,8,10.0,Interior Only,Window replacement and Paint stabilization,0.0,1804,1805,,0.0,,50-80,2.0,1.0,1.0,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55103.0,October 16 2012,December 04 2012,Owner Occupied,1878,764,6,6,7.0,Interior Only,Window replacement and Paint stabilization,0.0,1266,1266,,0.0,,30-50,4.0,1.0,1.0,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2012,Third Quarter,Single Family,St. Paul,55104.0,July 24 2012,September 13 2012,Owner Occupied,1911,1250,17,10,17.0,Only Interior,Paint Stabilization and Window replacement,0.0,3255,3256,,0.0,,50-80,3.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2011,Second Quarter,Single Family,St. Paul,55106.0,January 26 2011,May 03 2011,Owner Occupied,1930,1416,13,3,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,1703,1703,,0.0,,50-80,1.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2012,Third Quarter,Single Family,St. Paul,55104.0,June 27 2012,August 01 2912,Owner Occupied,1909,1341,13,7,15.0,Interior and Front Porch,Window replacement and Paint stabilization,113.0,2940,3484,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2020,Fourth Quarter,,Saint Paul,55104.0,August 17 2020,October 02 2020,Occupied Rental,1912,866,11,8,24.0,Interior and exterior porch,Paint Stabilization and Window replacement,381.0,4350,6525,,0.0,,<30,3.0,3.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2021,First Quarter,,Saint Paul,55130.0,November 15 2020,January 19 2021,Owner Occupied,1906,1660,14,10,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,3356,3356,,0.0,,50-80,1.0,3.0,,,,,,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2019,Second Quarter,1,Saint Paul,55117.0,February 12 2019,June 11 2019,Occupied Rental,1912,988,6,5,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,2058,2058,,0.0,,30-50,2.0,3.0,,,,,0.0,"Saint Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2023,Third Quarter,,Saint Paul,55104.0,May 03 2023,August 30 2023,Owner Occupied,1910,1552,17,10,25.0,Interior and exterior,Paint Stabilization and Window replacement,360.94,0,2741,13703.0,,,50-80,2.0,2.0,,,,,,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2013,Third Quarter,Single Family,St. Paul,55104.0,June 11 2013,August 20 2013,Owner Occupied,1900,1750,16,9,11.0,Interior Only,Window replacement and Paint stabilization,0.0,2005,2005,,0.0,,50-80,2.0,1.0,,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2016,Fourth Quarter,,St. Paul,55104.0,October 06 2016,December 07 2016,Occupied Rental,1909,2019,12,6,11.0,Interior and Exterior,Paint Stabilization and Window replacement,0.0,2622,2622,,0.0,,<30,2.0,8.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2019,Third Quarter,,Saint Paul,55113.0,July 16 2019,September 19 2019,Owner Occupied,1948,1022,12,8,18.0,Only Interior,Paint Stabilization and Window replacement,376.0,4893,4893,,0.0,,50-80,2.0,2.0,,,,,0.0,"Saint Paul 55113
(45.01805, -93.18037)","May 22, 2025"
2009,Fourth Quarter,Single Family,St. Paul,55107.0,August 10 2009,November 24 2009,Owner Occupied,1906,1525,13,8,,Only Interior,Paint Stabilization and Window replacement,0.0,2250,2250,,0.0,,,4.0,1.0,,,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2010,Second Quarter,Single Family,St. Paul,55130.0,April 21 2010,June 02 2010,Owner Occupied,1955,1561,11,8,,Only Interior,Paint Stabilization and Window replacement,113.0,2398,2398,,0.0,,,2.0,2.0,1.0,,,1.0,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55106.0,August 13 2012,October 10 2012,Owner Occupied,1928,1238,14,10,19.0,Only Interior,Paint Stabilization and Window replacement,0.0,3038,3039,,0.0,,30-50,5.0,3.0,1.0,,,2.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,Third Quarter,Single Family,St. Paul,55106.0,July 27 2015,September 29 2015,Owner Occupied,1954,912,9,6,11.0,Interior Only,Window replacement and Paint stabilization,0.0,2064,2064,,0.0,,50-80,4.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,Second Quarter,Unit #2,WBL,55110.0,April 13 2011,June 02 2011,Vacant,1900,875,5,3,5.0,Only Interior,Paint Stabilization and Window replacement,0.0,754,754,,0.0,,,0.0,0.0,,,,,,"WBL 55110
(45.08813, -93.00818)","May 22, 2025"
2012,Second Quarter,Single Family,St. Paul,55117.0,April 26 2012,May 17 2012,Owner Occupied,1919,1142,11,8,22.0,Only Interior,Paint Stabilization and Window replacement,0.0,3873,3873,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2014,Fourth Quarter,Unit #1,St. Paul,55106.0,September 10 2014,October 21 2014,Occupied Rental,1884,820,8,1,3.0,Interior Only,Window replacement and Paint stabilization,0.0,530,530,,0.0,,30-50,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2014,First Quarter,Unit #1,St. Paul,55106.0,October 29 2013,March 25 2014,Occupied Rental,1888,1245,10,7,9.0,Interior Only,Window replacement and Paint stabilization,0.0,1640,1641,,0.0,,30-50,4.0,2.0,1.0,1.0,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Fourth Quarter,Unit #2,St. Paul,55117.0,October 14 2010,December 16 2010,Occupied Rental,1909,1017,7,7,9.0,Only Interior,Paint Stabilization and Window replacement,0.0,1648,1648,,0.0,,30-50,2.0,2.0,1.0,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2017,First Quarter,,St. Paul,55106.0,November 09 2016,January 31 2017,Occupied Rental,1920,1440,14,11,22.0,Only Interior,Paint Stabilization and Window replacement,0.0,4200,4357,,0.0,,50-80,2.0,4.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Third Quarter,Single Family,St. Paul,55106.0,July 14 2010,September 23 2010,Owner Occupied,1924,1123,9,8,,Only Interior,Paint Stabilization and Window replacement,0.0,4200,4893,,0.0,,,3.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Second Quarter,Single Family,St. Paul,55106.0,April 01 2016,June 09 2016,Owner Occupied,1927,1384,11,8,16.0,Interior Only,Window replacement and Paint stabilization,0.0,3211,3211,,0.0,,<30,3.0,4.0,2.0,,,2.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2015,Third Quarter,Single Family,St. Paul,55117.0,July 16 2015,August 14 2015,Owner Occupied,1941,1408,14,10,21.0,Interior Only,Window replacement and Paint stabilization,0.0,3756,4597,,0.0,,50-80,2.0,3.0,2.0,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2021,Second Quarter,,Saint Paul,55106.0,December 21 2020,April 14 2021,Occupied Rental,1929,1210,11,8,21.0,Interior and exterior porch,Paint Stabilization and Window replacement,572.0,3727,5592,,0.0,,30-50,1.0,7.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2021,Third Quarter,,Saint Paul,55106.0,May 11 2021,August 24 2021,Owner Occupied,1962,1420,14,7,10.0,Only Interior,Paint Stabilization and Window replacement,287.0,4500,5239,,0.0,,30-50,1.0,4.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55103.0,August 30 2012,October 31 2012,Occupied Rental,1884,1394,12,2,5.0,Interior Only,Window replacement and Paint stabilization,0.0,1050,1051,,0.0,,30-50,3.0,2.0,,1.0,,1.0,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2016,First Quarter,Unit #2,St. Paul,55106.0,December 17 2015,March 02 2016,Vacant,1882,1020,5,4,6.0,Interior Only,Window replacement and Paint stabilization,0.0,882,882,,0.0,,,0.0,0.0,,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55107.0,October 16 2012,December 20 2012,Owner Occupied,1921,1304,10,8,17.0,Interior Only,Window replacement and Paint stabilization,226.0,2617,2618,,0.0,,30-50,3.0,3.0,1.0,1.0,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2022,Fourth Quarter,,Saint Paul,55130.0,April 25 2022,November 02 2022,Occupied Rental,1912,1040,8,8,14.0,Only Interior,Paint Stabilization and Window replacement,0.0,0,1382,5074.0,290.0,4073.0,<30,2.0,3.0,,,,,1.0,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2012,Third Quarter,Unit #2,St. Paul,55104.0,June 06 2012,July 18 2012,Occupied Rental,1903,820,5,4,5.0,Interior Only,Window replacement and Paint stabilization,0.0,1025,1026,,0.0,,30-50,1.0,0.0,,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2013,Third Quarter,Unit #8,St. Paul,55106.0,April 18 2013,September 09 2013,Occupied Rental,1889,725,4,3,3.0,Interior Only,Window replacement and Paint stabilization,0.0,542,543,,0.0,,30-50,1.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,Fourth Quarter,5,Saint Paul,55104.0,July 11 2019,November 05 2019,Occupied Rental,1915,1000,7,5,15.0,Only Interior,Paint Stabilization and Window replacement,136.0,1588,2382,,927.0,,50-80,0.0,3.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2010,Fourth Quarter,Single Family,St. Paul,55106.0,August 06 2010,October 06 2010,Owner Occupied,1884,1450,12,8,,Only Interior,Paint Stabilization and Window replacement,226.0,2279,2279,,0.0,,,4.0,2.0,1.0,1.0,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2010,Fourth Quarter,Unit #1,St. Paul,55117.0,October 14 2010,December 15 2010,Occupied Rental,1909,1017,10,6,8.0,Only Interior,Paint Stabilization and Window replacement,0.0,1455,1455,,0.0,,30-50,2.0,1.0,,,,1.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2014,Third Quarter,Single Family,St. Paul,55106.0,June 17 2014,September 30 2014,Owner Occupied,1921,792,7,5,15.0,Interior Only,Window replacement and Paint stabilization,0.0,2191,2192,,0.0,,50-80,3.0,1.0,1.0,,,,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2011,First Quarter,Single Family,St. Paul,55107.0,October 14 2010,January 26 2011,Owner Occupied,1906,1260,15,11,13.0,Only Interior,Paint Stabilization and Window replacement,0.0,2987,2987,,0.0,,50-80,3.0,2.0,2.0,,,,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2017,Third Quarter,,St. Paul,55117.0,June 07 2017,October 03 2017,Owner Occupied,1902,1928,14,9,25.0,Only Interior,Paint Stabilization and Window replacement,404.0,4200,5706,,0.0,,50-80,1.0,2.0,,,,,1.0,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2010,Fourth Quarter,Unit #2,St. Paul,55104.0,July 22 2010,November 24 2010,Vacant,1891,896,10,6,,Only Interior,Paint Stabilization and Window replacement,0.0,2479,2479,,0.0,,,0.0,0.0,,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2010,First Quarter,Single Family,St. Paul,55104.0,September 29 2009,February 25 2010,Owner Occupied,1914,1861,17,11,,Only Interior,Paint Stabilization and Window replacement,357.0,4200,10283,,0.0,,,6.0,1.0,,1.0,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
