Year,Quarter,Dwelling Unit,City,Zip,Paint Inspection/Risk Assessment Date,Clear/Close Date,Property Status,Year Built,Finished Square Feet,Number of Rooms,Number of Rooms Treated,Windows,Location of Work,Type of Work,Relocation Cost,HUD Lead Hazard Reduction Cost,Match LHR Cost,Total LHR cost,Other Rehab Cost,Local government cost,Income,Occupants Younger Than 6,Occupants 6 and Older,BLL <10,BLL 10-20,BLL > 20,BLL Unknown,BLL Greater Than 5,New Georeferenced Column,Date Updated
2011,First Quarter,Single Family,St. Paul,55106.0,October 26 2010,February 03 2011,Owner Occupied,1906,1552,14,12,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,3138,3138,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55104.0,September 20 2019,December 19 2019,Owner Occupied,1904,1155,12,9,17.0,Only Interior,Paint Stabilization and Window replacement,403.0,4100,4101,,0.0,,30-50,1.0,4.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2017,First Quarter,2,St. Paul,55106.0,February 01 2017,March 21 2017,Occupied Rental,1912,1012,8,7,19.0,Only Interior,Paint Stabilization and Window replacement,0.0,3425,3425,,0.0,,<30,2.0,7.0,,,,,1.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2017,Third Quarter,,St. Paul,55106.0,June 14 2017,August 08 2017,Owner Occupied,1928,1624,10,7,15.0,Only Interior,Paint Stabilization and Window replacement,269.0,3415,3415,,350.0,,50-80,1.0,2.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2014,Fourth Quarter,Unit #1,St. Paul,55106.0,September 10 2014,October 21 2014,Occupied Rental,1884,820,8,1,3.0,Interior Only,Window replacement and Paint stabilization,0.0,530,530,,0.0,,30-50,2.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2009,Second Quarter,Unit #2,St. Paul,55106.0,April 09 2009,June 19 2009,Occupied Rental,1904,1088,8,6,,Only Interior,Paint Stabilization and Window replacement,0.0,1580,1580,,0.0,,,3.0,2.0,1.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Fourth Quarter,,St. Paul,55103.0,August 08 2016,October 04 2016,Owner Occupied,1903,1598,15,10,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,4076,4077,,0.0,,30-50,2.0,2.0,,,,,0.0,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2011,First Quarter,Single Family,St. Paul,55107.0,September 13 2010,January 20 2011,Owner Occupied,1921,1452,12,10,36.0,Only Interior,Paint Stabilization and Window replacement,0.0,4200,9798,,0.0,,50-80,2.0,2.0,1.0,,,1.0,,"St. Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2022,Fourth Quarter,,Saint Paul,55104.0,May 26 2022,November 15 2022,Owner Occupied,1925,1188,12,3,12.0,Interior and exterior,Paint Stabilization and Window replacement,0.0,0,663,7812.0,247.0,5859.0,50-80,1.0,4.0,,,,,,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2015,First Quarter,Single Family,St. Paul,55130.0,December 05 2014,March 16 2015,Owner Occupied,1874,1344,11,7,10.0,Interior Only,Window replacement and Paint stabilization,0.0,1555,1556,,0.0,,50-80,2.0,3.0,2.0,,,,,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2020,First Quarter,1,Saint Paul,55103.0,December 06 2019,March 03 2020,Occupied Rental,1900,889,10,5,11.0,Only Interior,Paint Stabilization and Window replacement,0.0,2152,3227,,0.0,,<30,1.0,6.0,,,,,0.0,"Saint Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2018,First Quarter,,St. Paul,55104.0,December 01 2017,February 07 2018,Owner Occupied,1912,1124,13,8,11.0,Only Interior,Paint Stabilization and Window replacement,135.0,2288,3024,,0.0,,50-80,2.0,2.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2023,Fourth Quarter,,Saint Paul,55130.0,September 11 2023,November 29 2023,Owner Occupied,1898,1154,17,6,10.0,Only Interior,Paint Stabilization and Window replacement,132.54,0,1126,5630.0,,,<80,0.0,4.0,,,,,,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2016,Third Quarter,,St. Paul,55130.0,August 01 2016,September 06 2016,Occupied Rental,1890,1958,13,9,15.0,Only Interior,Stabilization and Window replacement,135.0,1248,1249,,3322.0,,<30,1.0,2.0,,,,,0.0,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2017,Second Quarter,,St. Paul,55105.0,January 24 2017,April 11 2017,Owner Occupied,1926,1056,9,7,14.0,Only Interior,Paint Stabilization and Window replacement,269.0,3002,3003,,0.0,,50-80,2.0,3.0,,,,,0.0,"St. Paul 55105
(44.93427, -93.17401)","May 22, 2025"
2018,Second Quarter,,St. Paul,55117.0,February 21 2018,April 10 2018,Occupied Rental,1880,773,10,7,11.0,Only Interior,Paint Stabilization and Window replacement,542.0,2214,2214,,0.0,,<30,2.0,3.0,,,,,0.0,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2021,Third Quarter,1,Saint Paul,55106.0,April 26 2021,July 29 2021,Occupied Rental,1879,1012,11,10,15.0,Only Interior,Paint Stabilization and Window replacement,201.0,3726,5590,,0.0,,<30,3.0,7.0,,,,,,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2009,Fourth Quarter,Single Family,St. Paul,55104.0,August 12 2009,December 16 2009,Owner Occupied,1912,1084,11,7,,Only Interior,Paint Stabilization and Window replacement,0.0,1379,1379,,0.0,,,2.0,1.0,,1.0,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2011,Second Quarter,Single Family,St. Paul,55117.0,February 18 2011,May 12 2011,Owner Occupied,1889,1190,12,7,14.0,Only Interior,Paint Stabilization and Window replacement,113.0,2330,2330,,0.0,,30-50,2.0,1.0,,1.0,,,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
2017,Second Quarter,2,St. Paul,55105.0,April 19 2017,June 27 2017,Occupied Rental,1922,1050,10,8,14.0,Only Interior,Paint Stabilization and Window replacement,206.0,3185,3185,,0.0,,30-50,1.0,2.0,,,,,1.0,"St. Paul 55105
(44.93427, -93.17401)","May 22, 2025"
2017,Third Quarter,,St. Paul,55130.0,March 29 2017,July 26 2017,Occupied Rental,1889,1723,23,14,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,4200,5427,,0.0,,<30,2.0,7.0,,,,,1.0,"St. Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55106.0,September 04 2019,December 11 2019,Owner Occupied,1956,1344,8,6,15.0,Only Interior,Paint Stabilization and Window replacement,206.0,3276,4915,,0.0,,30-50,0.0,2.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Second Quarter,Single Family,St. Paul,55106.0,February 18 2016,April 12 2016,Owner Occupied,1889,1188,14,9,9.0,Interior Only,Window replacement and Paint stabilization,135.0,1597,1597,,0.0,,30-50,2.0,1.0,,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2009,First Quarter,Single Family,St. Paul,55103.0,July 30 2008,February 27 2008,Vacant,1900,1071,12,8,,Only Interior,Paint Stabilization and Window replacement,0.0,2587,2587,,0.0,,,0.0,0.0,,,,,,"St. Paul 55103
(44.95874, -93.10595)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55106.0,August 09 2019,October 12 2019,Owner Occupied,1933,1145,13,3,5.0,Only Interior,Paint Stabilization and Window replacement,0.0,1172,1758,,0.0,,30-50,0.0,1.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2019,Second Quarter,1,Saint Paul,55130.0,February 21 2019,June 19 2019,Occupied Rental,1889,1012,9,7,16.0,Only Interior,Paint Stabilization and Window replacement,0.0,3730,3730,,0.0,,30-50,0.0,6.0,,,,,0.0,"Saint Paul 55130
(44.97743, -93.07621)","May 22, 2025"
2012,Fourth Quarter,Single Family,St. Paul,55117.0,September 04 2012,November 08 2012,Owner Occupied,1924,1037,10,8,19.0,Only Interior,Paint Stabilization and Window replacement,0.0,3485,3486,,0.0,,50-80,3.0,3.0,1.0,,,2.0,,"St. Paul 55117
(44.97203, -93.11042)","May 22, 2025"
