pwsid,violation_id,facility_id,population_served_count,npm_candidate,pws_activity_code,pws_deactivation_date,primary_source_code,pop_cat_5_code,primacy_agency_code,epa_region,pws_type_code,violation_code,violation_category_code,is_health_based_ind,contaminant_code,compliance_status_code,viol_measure,unit_of_measure,state_mcl,is_major_viol_ind,severity_ind_cnt,compl_per_begin_date,compl_per_end_date,latest_enforcement_id,rtc_enforcement_id,rtc_date,public_notification_tier,originator_code,sample_result_id,corrective_action_id,rule_code,rule_group_code,rule_family_code
IA2985303,448280,,360,N,N,2024-09-03 00:00:00,SWP,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2024-09-03 00:00:00,3,S,,,500,500,500
IA3070473,57580,,103,N,I,2023-06-05 00:00:00,GWP,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1981-09-29 00:00:00,,,2023-06-05 00:00:00,3,S,,,500,500,500
IA3100602,182080,,20,N,I,2022-02-25 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2022-02-25 00:00:00,3,S,,,500,500,500
IA3100675,178080,,82,N,I,2019-10-17 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2019-10-17 00:00:00,3,S,,,500,500,500
IA3126301,130080,,333,N,I,2018-01-04 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2018-01-04 00:00:00,3,S,,,500,500,500
IA3126302,169080,,215,N,I,2016-04-22 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2016-04-22 00:00:00,3,S,,,500,500,500
IA4100901,202080,,51,N,I,2016-07-28 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2016-07-28 00:00:00,3,S,,,500,500,500
IA5500820,213080,,45,N,I,2022-10-26 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2022-10-26 00:00:00,3,S,,,500,500,500
IA5500820,9001084,,45,N,I,2022-10-26 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1983-10-01 00:00:00,1984-09-30 00:00:00,20184.0,,2022-10-26 00:00:00,3,S,,,500,500,500
IA5700629,63980,,105,N,I,2017-01-20 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2017-01-20 00:00:00,3,S,,,500,500,500
IA5700629,9008785,,105,N,I,2017-01-20 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1984-10-01 00:00:00,1985-09-30 00:00:00,,,2017-01-20 00:00:00,3,S,,,500,500,500
IA5784318,100080,,80,N,I,2020-12-17 00:00:00,GW,1,IA,7,CWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2020-12-17 00:00:00,3,S,,,500,500,500
IA9700901,227080,,27,N,N,2017-12-04 00:00:00,GW,1,IA,7,NTNCWS,3,MR,N,1030,I,0.0,,0.0,,,1980-09-30 00:00:00,1983-09-29 00:00:00,,,2017-12-04 00:00:00,3,S,,,500,500,500
ID1280079,476480,,0,N,N,2020-09-22 00:00:00,GW,1,ID,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2020-09-22 00:00:00,3,S,,,500,500,500
ID3140218,1002,,0,N,N,2004-08-31 00:00:00,GW,1,ID,10,CWS,63,TT,Y,1030,R,,,,,,2000-01-01 00:00:00,,416502.0,416502.0,2002-05-29 00:00:00,2,S,,,350,300,350
IL1435245,988,,9,N,N,2024-12-10 00:00:00,GW,1,IL,5,CWS,3,MR,N,1030,I,,,,Y,,1987-07-01 00:00:00,1990-06-30 00:00:00,288.0,,2024-12-10 00:00:00,3,S,,,500,500,500
IL1617485,988,,75,N,N,2024-09-05 00:00:00,GW,1,IL,5,CWS,4,MR,N,1030,I,,,,N,,1987-05-01 00:00:00,1990-04-30 00:00:00,288.0,,2024-09-05 00:00:00,3,S,,,500,500,500
IL1797010,688,,230,N,I,2023-06-14 00:00:00,GW,1,IL,5,CWS,3,MR,N,1030,I,,,,Y,,1986-11-01 00:00:00,1989-10-31 00:00:00,288.0,,2023-06-14 00:00:00,3,S,,,500,500,500
IL1977690,688,,135,N,N,2017-12-12 00:00:00,GW,1,IL,5,CWS,3,MR,N,1030,I,,,,Y,,1986-11-01 00:00:00,1989-10-31 00:00:00,288.0,,2017-12-12 00:00:00,3,S,,,500,500,500
IL1997037,3288,,8,N,N,2024-02-27 00:00:00,SWP,1,IL,5,CWS,3,MR,N,1030,I,,,,Y,,1988-04-01 00:00:00,1989-03-31 00:00:00,288.0,,2024-02-27 00:00:00,3,S,,,500,500,500
IL1997037,988,,8,N,N,2024-02-27 00:00:00,SWP,1,IL,5,CWS,3,MR,N,1030,I,,,,Y,,1987-04-01 00:00:00,1988-03-31 00:00:00,288.0,,2024-02-27 00:00:00,3,S,,,500,500,500
KY0070640,7032571,38.0,0,N,N,2010-08-12 00:00:00,GWP,1,KY,4,CWS,3,MR,N,1030,I,,,,Y,,2016-01-01 00:00:00,2016-12-31 00:00:00,,,2010-08-12 00:00:00,3,S,,,500,500,500
KY0470455,5625489,,975,N,I,2023-09-30 00:00:00,SWP,2,KY,4,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1985-07-01 00:00:00,1986-06-30 00:00:00,,,2023-09-30 00:00:00,3,S,,,500,500,500
KY0500032,2393282,,754,N,N,2022-12-21 00:00:00,SWP,2,KY,4,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1979-07-01 00:00:00,1982-06-30 00:00:00,,,2022-12-21 00:00:00,3,S,,,500,500,500
KY0570495,5989692,,0,N,N,2019-05-13 00:00:00,SW,1,KY,4,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1991-08-03 00:00:00,1992-08-02 00:00:00,193.0,,2019-05-13 00:00:00,3,S,,,500,500,500
MA2012012,15,,25,Y,A,,GW,1,MA,1,TNCWS,3,MR,N,1030,K,,,,N,,2025-07-01 00:00:00,2025-09-30 00:00:00,4.0,,,3,S,,,500,500,500
MA2054075,22,,25,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,R,,,,N,,2023-04-01 00:00:00,2023-06-30 00:00:00,11.0,11.0,2024-04-08 00:00:00,3,S,,,500,500,500
MA2054075,22,,25,Y,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2023-04-01 00:00:00,2023-06-30 00:00:00,9.0,,,3,S,,,500,500,500
MA2054075,22,,25,Y,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,R,,,,N,,2023-04-01 00:00:00,2023-06-30 00:00:00,11.0,11.0,2024-04-08 00:00:00,3,S,,,500,500,500
