FIPS,total_employees,mining_employees,mining_establishments,bar_establishments,bar_employees,extraction_employment_pct
41023,1513,0.0,0.0,0.0,0.0,0.0
41027,10668,0.0,0.0,4.0,24.0,0.0
41029,78210,110.0,14.0,37.0,192.0,0.14064697609001406
41031,4657,4.0,3.0,6.0,23.0,0.08589220528237063
41033,22932,0.0,0.0,12.0,69.0,0.0
41035,17252,0.0,0.0,12.0,46.0,0.0
41037,1445,0.0,0.0,0.0,0.0,0.0
41039,121295,188.0,13.0,55.0,437.0,0.15499402283688526
41041,13733,0.0,0.0,11.0,55.0,0.0
41043,37219,29.0,6.0,17.0,128.0,0.07791719283161826
41045,8441,70.0,4.0,7.0,41.0,0.8292856296647317
41047,110356,80.0,10.0,80.0,494.0,0.07249266011816304
41049,3612,0.0,0.0,0.0,0.0,0.0
41051,411775,70.0,7.0,309.0,1757.0,0.016999575010624733
41053,15926,0.0,0.0,11.0,60.0,0.0
41055,531,0.0,0.0,0.0,0.0,0.0
41057,6984,0.0,0.0,7.0,70.0,0.0
41059,24002,176.0,5.0,11.0,68.0,0.7332722273143905
41061,7504,0.0,0.0,0.0,0.0,0.0
41063,2003,0.0,0.0,0.0,0.0,0.0
41065,7452,0.0,0.0,3.0,33.0,0.0
41067,277762,0.0,0.0,68.0,376.0,0.0
41069,146,0.0,0.0,0.0,0.0,0.0
41071,29914,29.0,3.0,17.0,77.0,0.09694457444674734
42001,25703,79.0,4.0,8.0,34.0,0.3073571178461658
42003,658058,1262.0,62.0,312.0,1379.0,0.19177640876640054
42005,13200,550.0,33.0,17.0,67.0,4.166666666666666
42007,48776,72.0,10.0,37.0,137.0,0.14761358044940134
42009,12197,0.0,0.0,10.0,63.0,0.0
42011,150047,226.0,10.0,56.0,327.0,0.1506194725652629
42013,50758,13.0,3.0,23.0,90.0,0.025611726230347926
42015,17430,411.0,24.0,11.0,55.0,2.3580034423407916
42017,245953,149.0,11.0,73.0,724.0,0.06058068004862718
42019,80224,692.0,28.0,20.0,139.0,0.8625847626645392
42021,42724,80.0,6.0,42.0,217.0,0.1872483849826795
42023,1590,0.0,0.0,3.0,9.0,0.0
42025,12523,17.0,4.0,9.0,67.0,0.13575021959594347
42027,41808,165.0,11.0,14.0,235.0,0.3946613088404133
42029,242923,105.0,9.0,27.0,256.0,0.04322357290170136
42031,9820,116.0,21.0,9.0,41.0,1.1812627291242364
42033,24626,465.0,31.0,17.0,77.0,1.8882481929667831
42035,10149,176.0,5.0,15.0,72.0,1.7341610010838509
42037,20964,40.0,3.0,9.0,38.0,0.19080328181644723
42039,24650,103.0,15.0,24.0,95.0,0.41784989858012167
42043,143098,72.0,11.0,35.0,204.0,0.05031516862569707
42045,209374,87.0,4.0,95.0,373.0,0.041552437265372014
42047,12415,35.0,7.0,10.0,49.0,0.2819170358437374
42049,105371,71.0,13.0,74.0,421.0,0.06738096819808106
42055,51996,240.0,5.0,10.0,38.0,0.4615739672282483
42051,31413,539.0,20.0,29.0,99.0,1.7158501257441185
42053,906,14.0,4.0,4.0,17.0,1.545253863134658
42057,5300,0.0,0.0,0.0,0.0,0.0
42059,10773,2057.0,21.0,3.0,10.0,19.094031374733127
42061,9434,48.0,5.0,5.0,8.0,0.5087979648081408
42063,22376,696.0,48.0,22.0,155.0,3.110475509474437
42065,12852,94.0,15.0,12.0,42.0,0.7314036725801432
42067,5797,0.0,0.0,3.0,13.0,0.0
42069,85136,51.0,4.0,46.0,133.0,0.05990415335463259
42071,231517,234.0,9.0,31.0,265.0,0.10107249143691392
42073,24077,145.0,9.0,17.0,116.0,0.6022344976533621
42075,46564,56.0,5.0,12.0,45.0,0.12026458208057728
42077,180135,0.0,0.0,37.0,237.0,0.0
42079,127690,309.0,18.0,66.0,213.0,0.24199232516250294
42081,43153,463.0,15.0,29.0,195.0,1.0729265636224596
42083,11439,287.0,26.0,12.0,63.0,2.5089605734767026
42085,40450,83.0,12.0,22.0,88.0,0.20519159456118666
42087,13986,0.0,0.0,8.0,31.0,0.0
42089,44438,84.0,8.0,15.0,93.0,0.18902740897430126
42091,521163,213.0,14.0,79.0,746.0,0.04087013084198226
42093,14614,0.0,0.0,0.0,0.0,0.0
42095,111246,28.0,4.0,27.0,128.0,0.025169444294626322
42097,22137,180.0,15.0,21.0,58.0,0.8131183087139178
42103,8168,24.0,3.0,7.0,39.0,0.2938295788442703
42099,5971,0.0,0.0,9.0,30.0,0.0
42101,620700,0.0,0.0,356.0,1697.0,0.0
42105,4300,0.0,0.0,5.0,18.0,0.0
42107,39423,512.0,38.0,28.0,71.0,1.2987342414326661
42109,13898,0.0,0.0,0.0,0.0,0.0
42111,18693,596.0,24.0,16.0,50.0,3.1883592788744446
42113,884,28.0,3.0,0.0,0.0,3.167420814479638
42115,6411,490.0,48.0,15.0,51.0,7.643113398845734
42117,10136,460.0,15.0,11.0,42.0,4.538279400157854
42119,15057,0.0,0.0,0.0,0.0,0.0
42121,13839,84.0,10.0,15.0,93.0,0.6069802731411229
42123,12570,245.0,31.0,10.0,56.0,1.9490851233094668
42125,80777,2432.0,72.0,40.0,155.0,3.0107580128006735
42127,12435,72.0,8.0,13.0,57.0,0.5790108564535585
42129,120777,639.0,23.0,61.0,312.0,0.5290742442683624
42131,9921,230.0,13.0,7.0,14.0,2.3183146860195545
42133,162322,247.0,9.0,32.0,307.0,0.15216668104138686
44001,13234,0.0,0.0,7.0,38.0,0.0
44003,66074,0.0,0.0,27.0,211.0,0.0
44005,30381,0.0,0.0,20.0,194.0,0.0
44007,254341,105.0,5.0,152.0,881.0,0.04128315922324753
44009,41638,37.0,5.0,21.0,159.0,0.08886113646188577
45001,4132,0.0,0.0,0.0,0.0,0.0
45003,51248,93.0,4.0,4.0,30.0,0.181470496409616
45005,1493,0.0,0.0,0.0,0.0,0.0
45007,62503,20.0,3.0,14.0,34.0,0.03199846407372446
45009,2554,0.0,0.0,0.0,0.0,0.0
45011,3736,0.0,0.0,0.0,0.0,0.0
45013,56136,0.0,0.0,7.0,68.0,0.0
45019,201036,14.0,3.0,80.0,1316.0,0.006963926858871048
45015,56840,31.0,4.0,10.0,101.0,0.05453905700211119
45017,3296,0.0,0.0,0.0,0.0,0.0
45021,17484,36.0,3.0,0.0,0.0,0.20590253946465342
45023,7862,0.0,0.0,0.0,0.0,0.0
45025,13340,120.0,7.0,0.0,0.0,0.8995502248875562
45027,5264,0.0,0.0,0.0,0.0,0.0
45029,7124,14.0,3.0,0.0,0.0,0.19651880965749577
45031,17447,0.0,0.0,0.0,0.0,0.0
45033,6924,0.0,0.0,0.0,0.0,0.0
45035,31704,25.0,3.0,8.0,68.0,0.07885440322987636
45037,4031,0.0,0.0,0.0,0.0,0.0
45039,5147,0.0,0.0,0.0,0.0,0.0
45041,59651,0.0,0.0,7.0,59.0,0.0
45043,19793,0.0,0.0,3.0,3.0,0.0
45045,242845,65.0,4.0,60.0,592.0,0.02676604418456217
45047,22241,0.0,0.0,3.0,57.0,0.0
45049,2893,0.0,0.0,0.0,0.0,0.0
45051,111426,57.0,4.0,61.0,581.0,0.05115502665446126
45053,8754,0.0,0.0,0.0,0.0,0.0
45055,15031,43.0,3.0,0.0,0.0,0.28607544408223007
45057,23213,634.0,3.0,4.0,40.0,2.731228191099815
45059,17897,31.0,5.0,0.0,0.0,0.17321338771861206
45061,2151,0.0,0.0,0.0,0.0,0.0
45063,111204,116.0,8.0,15.0,162.0,0.10431279450379483
45065,739,0.0,0.0,0.0,0.0,0.0
45067,4775,14.0,3.0,0.0,0.0,0.2931937172774869
45069,5414,0.0,0.0,0.0,0.0,0.0
45071,11872,0.0,0.0,0.0,0.0,0.0
45073,20762,0.0,0.0,7.0,21.0,0.0
45075,23280,0.0,0.0,3.0,39.0,0.0
45077,25630,0.0,0.0,11.0,175.0,0.0
45079,157908,98.0,5.0,35.0,505.0,0.06206145350457228
45081,4306,0.0,0.0,0.0,0.0,0.0
45083,139962,156.0,10.0,16.0,117.0,0.11145882453808892
45089,6374,0.0,0.0,0.0,0.0,0.0
45085,30679,0.0,0.0,7.0,26.0,0.0
45087,6135,0.0,0.0,0.0,0.0,0.0
45091,90829,46.0,4.0,16.0,176.0,0.05064461790837728
46003,635,0.0,0.0,0.0,0.0,0.0
46005,6606,0.0,0.0,9.0,43.0,0.0
46007,593,0.0,0.0,0.0,0.0,0.0
46009,1017,0.0,0.0,0.0,0.0,0.0
46011,14384,15.0,3.0,19.0,149.0,0.10428253615127919
46013,17416,0.0,0.0,13.0,141.0,0.0
46015,2240,0.0,0.0,3.0,12.0,0.0
46017,127,0.0,0.0,0.0,0.0,0.0
46019,2052,0.0,0.0,4.0,18.0,0.0
46021,404,0.0,0.0,0.0,0.0,0.0
46023,2265,0.0,0.0,0.0,0.0,0.0
46025,1025,0.0,0.0,3.0,24.0,0.0
46027,3778,0.0,0.0,5.0,42.0,0.0
46029,13937,14.0,3.0,13.0,99.0,0.10045203415369162
46031,237,0.0,0.0,0.0,0.0,0.0
46033,1460,28.0,4.0,3.0,18.0,1.9178082191780823
46035,10896,0.0,0.0,7.0,38.0,0.0
46037,1363,0.0,0.0,4.0,14.0,0.0
46039,1075,0.0,0.0,0.0,0.0,0.0
46041,543,0.0,0.0,0.0,0.0,0.0
46043,791,0.0,0.0,0.0,0.0,0.0
46045,869,0.0,0.0,3.0,8.0,0.0
46047,2510,16.0,4.0,4.0,11.0,0.6374501992031872
46049,387,0.0,0.0,3.0,10.0,0.0
46051,3345,19.0,3.0,5.0,16.0,0.5680119581464873
46055,610,0.0,0.0,0.0,0.0,0.0
46053,1084,0.0,0.0,0.0,0.0,0.0
46059,1018,0.0,0.0,4.0,35.0,0.0
46057,1497,0.0,0.0,0.0,0.0,0.0
46061,348,0.0,0.0,0.0,0.0,0.0
46063,380,79.0,3.0,3.0,28.0,20.789473684210527
46065,6875,0.0,0.0,4.0,47.0,0.0
46067,2131,0.0,0.0,5.0,25.0,0.0
46069,422,0.0,0.0,0.0,0.0,0.0
46071,274,0.0,0.0,0.0,0.0,0.0
46073,1574,0.0,0.0,3.0,29.0,0.0
46075,207,0.0,0.0,0.0,0.0,0.0
46077,1275,0.0,0.0,4.0,14.0,0.0
46079,3797,0.0,0.0,9.0,49.0,0.0
46081,10162,290.0,5.0,14.0,211.0,2.8537689431214326
46083,24371,0.0,0.0,17.0,241.0,0.0
46085,483,0.0,0.0,0.0,0.0,0.0
46087,957,0.0,0.0,0.0,0.0,0.0
46089,331,0.0,0.0,0.0,0.0,0.0
46091,1096,0.0,0.0,3.0,17.0,0.0
46093,5774,9.0,3.0,11.0,116.0,0.15587114651887773
46095,164,0.0,0.0,0.0,0.0,0.0
46097,548,0.0,0.0,4.0,16.0,0.0
46099,119796,91.0,7.0,62.0,748.0,0.07596246953153694
46101,1562,0.0,0.0,3.0,8.0,0.0
46102,1851,0.0,0.0,0.0,0.0,0.0
46103,48512,96.0,6.0,23.0,203.0,0.1978891820580475
46105,782,0.0,0.0,0.0,0.0,0.0
46115,1272,0.0,0.0,0.0,0.0,0.0
46107,550,0.0,0.0,0.0,0.0,0.0
46109,1941,0.0,0.0,4.0,16.0,0.0
46111,397,0.0,0.0,0.0,0.0,0.0
46117,876,0.0,0.0,0.0,0.0,0.0
46119,290,0.0,0.0,0.0,0.0,0.0
46121,919,0.0,0.0,0.0,0.0,0.0
46123,1617,0.0,0.0,3.0,17.0,0.0
46125,1454,0.0,0.0,5.0,21.0,0.0
46127,9044,0.0,0.0,7.0,29.0,0.0
